detection_alpha,N_cells_per_location,A_factors_per_location,B_groups_per_location,lr,max_epochs,names
1.0,40.0,1000.0,500.0,0.002,20000,test_hyperparameters_v3_adam_1.0_40.0_1000.0_500.0
50.0,1.0,16.0,1000.0,0.002,20000,test_hyperparameters_v3_adam_50.0_1.0_16.0_1000.0
1.0,40.0,16.0,500.0,0.002,20000,test_hyperparameters_v3_adam_1.0_40.0_16.0_500.0
100.0,150.0,1.0,80.0,0.002,20000,test_hyperparameters_v3_adam_100.0_150.0_1.0_80.0
200.0,1000.0,3.0,80.0,0.002,20000,test_hyperparameters_v3_adam_200.0_1000.0_3.0_80.0
50.0,3.0,3.0,1000.0,0.002,20000,test_hyperparameters_v3_adam_50.0_3.0_3.0_1000.0
1.0,25.0,25.0,1.0,0.002,20000,test_hyperparameters_v3_adam_1.0_25.0_25.0_1.0
5.0,1000.0,150.0,10.0,0.002,20000,test_hyperparameters_v3_adam_5.0_1000.0_150.0_10.0
100.0,80.0,3.0,25.0,0.002,20000,test_hyperparameters_v3_adam_100.0_80.0_3.0_25.0
1000.0,5.0,10.0,16.0,0.002,20000,test_hyperparameters_v3_adam_1000.0_5.0_10.0_16.0
500.0,25.0,80.0,40.0,0.002,20000,test_hyperparameters_v3_adam_500.0_25.0_80.0_40.0
500.0,150.0,1.0,1000.0,0.002,20000,test_hyperparameters_v3_adam_500.0_150.0_1.0_1000.0
100.0,16.0,40.0,10.0,0.002,20000,test_hyperparameters_v3_adam_100.0_16.0_40.0_10.0
500.0,25.0,500.0,10.0,0.002,20000,test_hyperparameters_v3_adam_500.0_25.0_500.0_10.0
10.0,150.0,10.0,1.0,0.002,20000,test_hyperparameters_v3_adam_10.0_150.0_10.0_1.0
1.0,500.0,40.0,5.0,0.002,20000,test_hyperparameters_v3_adam_1.0_500.0_40.0_5.0
10.0,10.0,500.0,3.0,0.002,20000,test_hyperparameters_v3_adam_10.0_10.0_500.0_3.0
1000.0,1000.0,16.0,1.0,0.002,20000,test_hyperparameters_v3_adam_1000.0_1000.0_16.0_1.0
500.0,25.0,1.0,1000.0,0.002,20000,test_hyperparameters_v3_adam_500.0_25.0_1.0_1000.0
20.0,150.0,3.0,10.0,0.002,20000,test_hyperparameters_v3_adam_20.0_150.0_3.0_10.0
100.0,40.0,1.0,1.0,0.002,20000,test_hyperparameters_v3_adam_100.0_40.0_1.0_1.0
20.0,40.0,25.0,80.0,0.002,20000,test_hyperparameters_v3_adam_20.0_40.0_25.0_80.0
100.0,16.0,500.0,1.0,0.002,20000,test_hyperparameters_v3_adam_100.0_16.0_500.0_1.0
500.0,1.0,500.0,5.0,0.002,20000,test_hyperparameters_v3_adam_500.0_1.0_500.0_5.0
1000.0,5.0,3.0,40.0,0.002,20000,test_hyperparameters_v3_adam_1000.0_5.0_3.0_40.0
1.0,40.0,1000.0,80.0,0.002,20000,test_hyperparameters_v3_adam_1.0_40.0_1000.0_80.0
200.0,10.0,500.0,1.0,0.002,20000,test_hyperparameters_v3_adam_200.0_10.0_500.0_1.0
50.0,80.0,1000.0,80.0,0.002,20000,test_hyperparameters_v3_adam_50.0_80.0_1000.0_80.0
5.0,500.0,1000.0,1.0,0.002,20000,test_hyperparameters_v3_adam_5.0_500.0_1000.0_1.0
100.0,5.0,5.0,1000.0,0.002,20000,test_hyperparameters_v3_adam_100.0_5.0_5.0_1000.0
10.0,1000.0,1.0,25.0,0.002,20000,test_hyperparameters_v3_adam_10.0_1000.0_1.0_25.0
100.0,150.0,1.0,25.0,0.002,20000,test_hyperparameters_v3_adam_100.0_150.0_1.0_25.0
1000.0,500.0,10.0,1000.0,0.002,20000,test_hyperparameters_v3_adam_1000.0_500.0_10.0_1000.0
20.0,500.0,40.0,500.0,0.002,20000,test_hyperparameters_v3_adam_20.0_500.0_40.0_500.0
