,value,cell_type,is_uniform,is_high_density,is_txn_fine,max_density,method,value_normalised_by_density,Fig1_categories,Fig1_txn_categories
0,0.24749163464411944,Inh_3,1,0,1,0.9340324185608874,LocationModelLinearDependentWMultiExperimentLocationBackgroundNormLevelGeneAlphaPyroModel,0.2649711398940979,"Ubiquitous & 
Low abundance",Txn fine-grained
1,0.9765446051550303,Ext_Pir,0,1,0,3.584910833189018,LocationModelLinearDependentWMultiExperimentLocationBackgroundNormLevelGeneAlphaPyroModel,0.2724041546903214,"Regional & 
High abundance",Txn distict
2,0.3303803452562194,Oligo_2,0,0,1,0.6618093444979991,LocationModelLinearDependentWMultiExperimentLocationBackgroundNormLevelGeneAlphaPyroModel,0.4992077370965835,"Regional & 
Low abundance",Txn fine-grained
3,0.46767241178442004,Astro_HYPO,0,0,1,0.7590342668801455,LocationModelLinearDependentWMultiExperimentLocationBackgroundNormLevelGeneAlphaPyroModel,0.6161413683030299,"Regional & 
Low abundance",Txn fine-grained
4,0.5607554627664226,Ext_L25,0,0,1,1.3638756918125519,LocationModelLinearDependentWMultiExperimentLocationBackgroundNormLevelGeneAlphaPyroModel,0.41114851311793277,"Regional & 
Low abundance",Txn fine-grained
5,0.8958092927258106,Astro_THAL_lat,0,1,1,4.689548354621618,LocationModelLinearDependentWMultiExperimentLocationBackgroundNormLevelGeneAlphaPyroModel,0.19102250898916046,"Regional & 
High abundance",Txn fine-grained
6,0.4539446094688885,Ext_L5_1,0,0,1,0.7731843454703217,LocationModelLinearDependentWMultiExperimentLocationBackgroundNormLevelGeneAlphaPyroModel,0.5871104506038048,"Regional & 
Low abundance",Txn fine-grained
7,0.7865542328446349,Ext_L23,1,1,0,2.7259494110317934,LocationModelLinearDependentWMultiExperimentLocationBackgroundNormLevelGeneAlphaPyroModel,0.2885432244859298,"Ubiquitous & 
High abundance",Txn distict
8,0.8689397643060893,Micro,0,0,1,1.6720552299426534,LocationModelLinearDependentWMultiExperimentLocationBackgroundNormLevelGeneAlphaPyroModel,0.5196836496458861,"Regional & 
Low abundance",Txn fine-grained
9,0.35144234315640155,Ext_Thal_1,0,0,0,0.9881350279949519,LocationModelLinearDependentWMultiExperimentLocationBackgroundNormLevelGeneAlphaPyroModel,0.3556622659855723,"Regional & 
Low abundance",Txn distict
10,0.7895451195903028,Ext_Hpc_CA1,0,1,0,2.550637450677472,LocationModelLinearDependentWMultiExperimentLocationBackgroundNormLevelGeneAlphaPyroModel,0.3095481560425582,"Regional & 
High abundance",Txn distict
11,0.9157084624042715,Inh_Meis2_3,0,1,1,3.356570644237813,LocationModelLinearDependentWMultiExperimentLocationBackgroundNormLevelGeneAlphaPyroModel,0.27281072244859733,"Regional & 
High abundance",Txn fine-grained
12,0.27434343718556276,Inh_4,0,0,1,0.36002434842539527,LocationModelLinearDependentWMultiExperimentLocationBackgroundNormLevelGeneAlphaPyroModel,0.7620135648753561,"Regional & 
Low abundance",Txn fine-grained
