,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11,mean_cell_type_factorsfact_12
B_Cycling,0.10177682251613734,0.0,0.0,0.0,0.0,0.0,0.6535709991718902,0.05633923604877425,0.0,0.043565962874259276,0.0,0.09206970649892675,0.05267727289001201
B_GC_DZ,0.10951707606891203,0.0,0.0,0.0,0.0,0.0,0.6054083184065486,0.0536479388735103,0.0,0.0,0.0,0.2314266666510291,0.0
B_GC_LZ,0.0,0.0,0.0,0.0,0.0,0.0,0.7760298468145479,0.0,0.0,0.0,0.0,0.22397015318545216,0.0
B_GC_prePB,0.0,0.0,0.0,0.0,0.0,0.0,0.7971152412976127,0.0,0.0,0.0,0.0,0.20288475870238742,0.0
B_IFN,0.0004787555736917931,0.0,0.0,0.0,0.0,0.0,0.004148195824999458,0.02080496641429279,0.0,0.9428545669540677,0.0,0.028884358393378284,0.0028291568395699194
B_activated,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_mem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0231908674234083,0.9768091325765916
B_naive,0.09256996621412131,0.0,0.0,0.0,0.0,0.0,0.015006663955386502,0.018360208142179913,0.0,0.0,0.0,0.8616290243364098,0.012434137351902522
B_plasma,0.6078745656076153,0.0,0.0,0.0,0.0,0.0,0.051117909983624726,0.08419575451473993,0.0,0.03944672476441272,0.0,0.1541288650373316,0.06323618009227577
B_preGC,0.0,0.0,0.0,0.0,0.0,0.0,0.05550702341507396,0.03250913235927753,0.0,0.04663100514793963,0.0,0.20981776427294774,0.6555350748047611
DC_CCR7+,0.20121295449533855,0.0,0.0,0.0,0.0,0.0,0.0169999633052948,0.3706582367505464,0.0,0.10486480788091768,0.0,0.1087773466727386,0.19748669089516396
DC_cDC1,0.2718743183463908,0.0,0.0,0.0,0.0,0.0,0.06678484242586914,0.07727763705091079,0.0,0.03939969345262902,0.0,0.17807148137036322,0.366592027353837
DC_cDC2,0.41060649500130986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05812380477601666,0.0,0.1410770576116806,0.3901926426109928
DC_pDC,0.6339156031873262,0.0,0.0,0.0,0.0,0.0,0.0,0.08682137076119367,0.0,0.008090991132119255,0.0,0.23207521831327035,0.03909681660609038
Endo,0.4324948581919126,0.0,0.0,0.0,0.0,0.0,0.03324461058372195,0.0869840825349215,0.0,0.0546236588372857,0.0,0.16309968951321513,0.2295531003389432
FDC,0.0,0.0,0.0,0.0,0.0,0.0,0.3561804536809043,0.009789124514993036,0.0,0.106255402716945,0.0,0.30131157526908786,0.22646344381806996
ILC,0.7433061426798043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24999867483884133,0.006695182481354296
Macrophages_M1,0.22586056777479635,0.0,0.0,0.0,0.0,0.0,0.13448319166792722,0.10768909853368218,0.0,0.07349906597462005,0.0,0.1694277455210216,0.28904033052795275
Macrophages_M2,0.6307676445224165,0.0,0.0,0.0,0.0,0.0,0.02419172222852304,0.21309442240608925,0.0,0.006467055731252972,0.0,0.12547915511171834,0.0
Mast,0.6404013302984797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3595986697015204,0.0
Monocytes,0.6911082323321923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1414578525484968,0.16743391511931097
NK,0.5292062149166058,0.0,0.0,0.0,0.0,0.0,0.0,0.06583372288598655,0.0,0.0,0.0,0.40496006219740766,0.0
NKT,0.7005764086745118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29942359132548824,0.0
T_CD4+,0.40351898721289475,0.0,0.0,0.0,0.0,0.0,0.03216759337742712,0.0,0.0,0.0,0.0,0.3366394337694434,0.22767398564023467
T_CD4+_TfH,0.7723803636473523,0.0,0.0,0.0,0.0,0.0,0.08599396648289157,0.0,0.0,0.0,0.0,0.14162566986975622,0.0
T_CD4+_TfH_GC,0.0,0.0,0.0,0.0,0.0,0.0,0.38688493707375043,0.04812142608106821,0.0,0.03279241198480724,0.0,0.532201224860374,0.0
T_CD4+_naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
