	logits
ENSMUSG00000092341	3.4308016
ENSMUSG00000021268	1.28229
ENSMUSG00000029088	2.6953661
ENSMUSG00000044349	0.48901677
ENSMUSG00000061080	2.1234133
ENSMUSG00000055421	1.6977333
ENSMUSG00000028399	1.3899037
ENSMUSG00000008658	1.8379469
ENSMUSG00000052572	0.6275316
ENSMUSG00000041014	0.97038066
ENSMUSG00000002107	0.5662754
ENSMUSG00000066392	1.7395295
ENSMUSG00000024109	0.2719819
ENSMUSG00000069670	1.2240264
ENSMUSG00000060924	0.7838556
ENSMUSG00000025551	0.4026013
ENSMUSG00000064115	0.8424758
ENSMUSG00000063887	0.7821517
ENSMUSG00000052581	2.1500497
ENSMUSG00000039419	1.7458918
ENSMUSG00000049252	1.2835617
ENSMUSG00000040003	0.15689103
ENSMUSG00000049336	1.8386698
ENSMUSG00000062257	1.4574846
ENSMUSG00000003279	0.35033268
ENSMUSG00000052372	0.71854675
ENSMUSG00000035864	0.43306956
ENSMUSG00000062991	1.5976031
ENSMUSG00000033569	0.53306234
ENSMUSG00000029673	0.46766034
ENSMUSG00000058589	-0.06995754
ENSMUSG00000092329	-0.452609
ENSMUSG00000079157	0.33661303
ENSMUSG00000045083	1.465567
ENSMUSG00000060882	0.91542786
ENSMUSG00000054728	0.5080201
ENSMUSG00000069601	-0.46525422
ENSMUSG00000040037	0.87180865
ENSMUSG00000032826	-0.7131974
ENSMUSG00000050587	1.0907702
ENSMUSG00000020181	0.0031341072
ENSMUSG00000063063	0.44915807
ENSMUSG00000020704	1.3738477
ENSMUSG00000056755	0.70490867
ENSMUSG00000059974	1.1846771
ENSMUSG00000025326	-0.33646587
ENSMUSG00000030209	-0.32095757
ENSMUSG00000034912	-0.08300956
ENSMUSG00000059003	0.5397163
ENSMUSG00000086503	-0.16659243
ENSMUSG00000049583	0.43900645
ENSMUSG00000028176	-0.26112768
ENSMUSG00000061751	-0.36711386
ENSMUSG00000026657	0.08493731
ENSMUSG00000022523	-0.15444425
ENSMUSG00000032238	0.70428485
ENSMUSG00000021699	0.48592338
ENSMUSG00000039539	2.0202558
ENSMUSG00000026915	-0.99464846
ENSMUSG00000068205	-0.038382474
ENSMUSG00000063142	0.083960764
ENSMUSG00000028525	0.38310638
ENSMUSG00000039717	0.8425936
ENSMUSG00000060843	0.9055247
ENSMUSG00000022240	-0.58741647
ENSMUSG00000022311	0.2511152
ENSMUSG00000041670	-0.093791224
ENSMUSG00000037605	0.0036491798
ENSMUSG00000040640	0.030588683
ENSMUSG00000037996	0.1642697
ENSMUSG00000056073	0.30664194
ENSMUSG00000051951	-0.0007011599
ENSMUSG00000062209	1.5671232
ENSMUSG00000019986	-0.4841834
ENSMUSG00000026109	0.545054
ENSMUSG00000028161	-0.73363084
ENSMUSG00000022883	1.0438896
ENSMUSG00000071424	0.6290764
