ENSEMBL,mean_sample_effectsample_5705STDY8058280,mean_sample_effectsample_5705STDY8058281
ENSMUSG00000051951,0.22238050401210785,0.22820307314395905
ENSMUSG00000089699,0.04419717565178871,0.06217694655060768
ENSMUSG00000033845,0.015147489495575428,0.008096706122159958
ENSMUSG00000033813,0.011740658432245255,0.013795774430036545
ENSMUSG00000002459,0.02419568970799446,0.02649972401559353
ENSMUSG00000033793,0.03359166160225868,0.04827352240681648
ENSMUSG00000025905,0.0006357613601721823,0.0009660512441769242
ENSMUSG00000025907,0.07166077196598053,0.06616012752056122
ENSMUSG00000090031,0.007503383327275515,0.013557451777160168
ENSMUSG00000033740,0.056921377778053284,0.06267379224300385
ENSMUSG00000051285,0.038499705493450165,0.045815806835889816
ENSMUSG00000097797,0.004939625039696693,0.0038936955388635397
ENSMUSG00000025909,0.1309187263250351,0.12095697224140167
ENSMUSG00000061024,0.003294603666290641,0.006652290467172861
ENSMUSG00000025911,0.0030493633821606636,0.003920618444681168
ENSMUSG00000067879,0.0084083778783679,0.006233008578419685
ENSMUSG00000045210,0.0117484200745821,0.014675025828182697
ENSMUSG00000025915,0.030492786318063736,0.011602834798395634
ENSMUSG00000046101,0.011259600520133972,0.008990803733468056
ENSMUSG00000087199,0.003715568920597434,0.0023393330629915
ENSMUSG00000025917,0.022883979603648186,0.010439150966703892
ENSMUSG00000056763,0.08649616688489914,0.07362326234579086
ENSMUSG00000067851,0.0434507355093956,0.059143614023923874
ENSMUSG00000042501,0.005302927456796169,0.007101601921021938
ENSMUSG00000048960,0.015324801206588745,0.014603949151933193
ENSMUSG00000057715,0.04778849706053734,0.047262582927942276
ENSMUSG00000016918,0.008096843957901001,0.00797262229025364
ENSMUSG00000025938,0.0019509134581312537,0.0012708184076473117
ENSMUSG00000005886,0.08417104929685593,0.07530339062213898
ENSMUSG00000025935,0.007857421413064003,0.014339393004775047
ENSMUSG00000025937,0.010847972705960274,0.012243219651281834
ENSMUSG00000025932,0.0026016344781965017,0.0034679844975471497
ENSMUSG00000092083,0.09892869740724564,0.09642846882343292
ENSMUSG00000025925,0.01829584129154682,0.03893400356173515
ENSMUSG00000067795,0.002547310199588537,0.0022810697555541992
ENSMUSG00000043716,0.007306829560548067,0.022713063284754753
ENSMUSG00000025921,0.002766574500128627,0.005395886488258839
ENSMUSG00000100868,0.002114948583766818,0.0020187629852443933
ENSMUSG00000025920,0.04669459909200668,0.05006751790642738
ENSMUSG00000025939,0.032368890941143036,0.03438432142138481
ENSMUSG00000079658,0.011885473504662514,0.015751056373119354
ENSMUSG00000025940,0.007662949152290821,0.007522051688283682
ENSMUSG00000101640,0.08394546806812286,0.08279963582754135
ENSMUSG00000042686,0.021923556923866272,0.020168263465166092
ENSMUSG00000025777,0.012105372734367847,0.009259749203920364
ENSMUSG00000100053,0.00047244195593521,0.0004231708589941263
ENSMUSG00000085125,0.0014476266223937273,0.0016672149067744613
ENSMUSG00000025776,0.0041288333013653755,0.0038735675625503063
ENSMUSG00000099895,0.016709987074136734,0.009193886071443558
ENSMUSG00000042596,0.0007783774635754526,0.0008981097489595413
ENSMUSG00000043760,0.0028998483903706074,0.0054357051849365234
ENSMUSG00000025931,0.01740352436900139,0.013746989890933037
ENSMUSG00000025933,0.0039340537041425705,0.008473286405205727
ENSMUSG00000025934,0.00345165329053998,0.0028015857096761465
ENSMUSG00000099343,0.002047966467216611,0.0008500618860125542
ENSMUSG00000028033,0.19558222591876984,0.17152096331119537
ENSMUSG00000041670,0.21113164722919464,0.19813571870326996
ENSMUSG00000026158,0.013444386422634125,0.017802918329834938
ENSMUSG00000099503,0.0005302760982885957,0.0003503378538880497
ENSMUSG00000026156,0.014944149181246758,0.010896050371229649
ENSMUSG00000026155,0.03246862813830376,0.04377100244164467
ENSMUSG00000026154,0.003237284952774644,0.004746551159769297
