,mean_spot_factorsAstro_0,mean_spot_factorsAstro_1,mean_spot_factorsAstro_2,mean_spot_factorsAstro_3,mean_spot_factorsAstro_4,mean_spot_factorsExt_Amy_1,mean_spot_factorsExt_Amy_2,mean_spot_factorsExt_ClauPyr,mean_spot_factorsExt_Hpc_1,mean_spot_factorsExt_Hpc_2,mean_spot_factorsExt_Hpc_3,mean_spot_factorsExt_Hpc_4,mean_spot_factorsExt_L23,mean_spot_factorsExt_L25,mean_spot_factorsExt_L56,mean_spot_factorsExt_L5_1,mean_spot_factorsExt_L5_2,mean_spot_factorsExt_L6,mean_spot_factorsExt_L6B,mean_spot_factorsExt_Pir,mean_spot_factorsExt_Thal_1,mean_spot_factorsExt_Thal_2,mean_spot_factorsExt_Unk_3,mean_spot_factorsInh_1,mean_spot_factorsInh_2,mean_spot_factorsInh_3,mean_spot_factorsInh_4,mean_spot_factorsInh_5,mean_spot_factorsInh_6,mean_spot_factorsInh_Lamp5,mean_spot_factorsInh_Meis2_1,mean_spot_factorsInh_Meis2_2,mean_spot_factorsInh_Meis2_3,mean_spot_factorsInh_Meis2_4,mean_spot_factorsInh_Pvalb,mean_spot_factorsInh_Sst,mean_spot_factorsInh_Vip,mean_spot_factorsLowQ_2,mean_spot_factorsMicro,mean_spot_factorsNb_1,mean_spot_factorsNb_2,mean_spot_factorsOPC_1,mean_spot_factorsOPC_2,mean_spot_factorsOligo_1,mean_spot_factorsOligo_2,mean_spot_factorsUnk_1
Spotx1,0.15319550037384033,0.01833702251315117,2.204026937484741,0.8724151253700256,0.5499445796012878,0.005633637309074402,0.00510735809803009,0.003367411205545068,0.003962629474699497,0.0027649025432765484,0.021240122616291046,0.011751699261367321,0.004640508908778429,0.04134500026702881,0.00608541676774621,0.005132064688950777,0.00457734102383256,0.004844146315008402,0.002793159568682313,0.004721516277641058,0.010186664760112762,0.009299728088080883,0.6685755252838135,1.096175193786621,0.17916549742221832,0.017775513231754303,0.18104447424411774,0.27815428376197815,0.017181864008307457,0.004440891090780497,0.02024487406015396,0.19657672941684723,0.7357302308082581,0.009075801819562912,0.03657352924346924,0.02851777710020542,0.02685062773525715,0.014532528817653656,0.009554087184369564,0.016947420313954353,1.0008541345596313,0.014413402415812016,0.022946128621697426,0.022672848775982857,0.029201293364167213,0.05659288167953491
Spotx2,0.0034580910578370094,0.007357380352914333,0.002492876024916768,0.0017347483662888408,0.007284770719707012,0.00723258126527071,0.00466188695281744,0.005422411952167749,0.004761389922350645,0.004754170775413513,0.017365511506795883,0.008511560969054699,0.004618295934051275,0.009913339279592037,0.008651968091726303,0.0036441904958337545,0.004899108782410622,0.006498999428004026,0.006744484417140484,0.008487152867019176,0.005021210294216871,0.010014503262937069,1.7489529848098755,0.01791973225772381,0.16089339554309845,0.039201878011226654,0.80230313539505,0.016319923102855682,0.028605757281184196,0.01844351924955845,0.0204428993165493,0.44918882846832275,1.677301049232483,0.09580618143081665,3.184486150741577,0.016801096498966217,0.7276694178581238,0.03046344965696335,0.006767392624169588,0.03562787175178528,0.023464154452085495,0.010206668637692928,0.0038539469242095947,0.04966901242733002,0.0382910892367363,1.9036144018173218
Spotx3,0.025658976286649704,0.050653234124183655,0.011190343648195267,0.014370100572705269,1.0379467010498047,0.018499189987778664,0.010037191212177277,0.16980992257595062,0.028033258393406868,0.009775014594197273,0.01214144192636013,0.013871130533516407,0.020157882943749428,0.047047439962625504,0.2704785168170929,0.013753216713666916,0.006180651020258665,0.6141611337661743,0.004954139702022076,0.015286090783774853,0.0042448947206139565,0.005142733920365572,0.42263567447662354,0.7272607684135437,0.017578650265932083,0.018382711336016655,0.012687022797763348,0.021216856315732002,0.014312216080725193,0.017228368669748306,0.010913305915892124,0.027797088027000427,1.7828763723373413,0.04123929888010025,1.5345878601074219,0.40560388565063477,0.013052336871623993,0.013175402767956257,0.028230316936969757,0.05139867216348648,0.36858421564102173,0.021241113543510437,0.018925737589597702,0.009253949858248234,0.013475365936756134,0.0477101169526577
Spotx4,0.0075929914601147175,0.027225274592638016,0.006781695410609245,0.014329250901937485,0.018912941217422485,0.017071377485990524,0.022178323939442635,0.011440999805927277,0.012103725224733353,0.010311516933143139,0.027714859694242477,0.01873623952269554,0.022855181246995926,0.030437162145972252,0.26207467913627625,2.3648486137390137,0.04028337448835373,0.016905393451452255,0.01256566122174263,0.31760942935943604,0.01552588026970625,0.218370258808136,1.546515703201294,0.06069274619221687,0.2534448504447937,0.06725050508975983,1.0181171894073486,0.016241056844592094,0.05162438750267029,0.008256896398961544,0.9543843269348145,0.07079201191663742,1.2799814939498901,0.016793519258499146,0.0818878635764122,0.14640507102012634,0.008576656691730022,0.025432264432311058,2.9498908519744873,0.064745232462883,0.04485778883099556,0.008654307574033737,0.014970451593399048,0.026016904041171074,0.12069724500179291,0.14408332109451294
Spotx5,0.7859780788421631,0.04541829973459244,1.0968149900436401,0.06874032318592072,0.009111789986491203,0.10149292647838593,0.005053036380559206,0.00721657695248723,0.012116789817810059,0.005531345494091511,0.020911503583192825,0.013221608474850655,0.13929244875907898,0.01612047851085663,0.011956317350268364,0.00782929826527834,0.002651066752150655,0.18129439651966095,0.002065705368295312,1.9185128211975098,0.027942100539803505,0.003399298992007971,0.005939928814768791,0.005540607962757349,0.005539231933653355,0.005750608164817095,0.005503172520548105,0.006666040513664484,0.0063880085945129395,0.011104888282716274,0.00684524979442358,0.3631765842437744,2.342144727706909,0.003588665509596467,0.04405657947063446,1.4486603736877441,0.007563928607851267,0.017574356868863106,0.07354780286550522,0.007874937728047371,0.008815798908472061,0.00717145623639226,0.006130574736744165,0.0034803198650479317,0.006925322115421295,0.02904716692864895
Spotx6,0.006591033656150103,0.01309528760612011,0.0070254746824502945,0.010376113466918468,0.0195857435464859,0.035088151693344116,0.04700426012277603,0.009169806726276875,0.018523698672652245,0.024459892883896828,0.03448358550667763,0.9983507394790649,0.1079469546675682,0.020102158188819885,0.02550959400832653,0.015264122746884823,0.13104934990406036,0.011404762975871563,0.012911345809698105,0.013012646697461605,0.009348896332085133,0.2814216613769531,1.4297951459884644,0.07242528349161148,0.42330825328826904,0.02815932221710682,0.02870844304561615,0.012442203238606453,0.015583805739879608,0.028248228132724762,0.016376061365008354,0.017006151378154755,3.773306369781494,0.0057318322360515594,0.014136071316897869,0.01947833225131035,0.018339168280363083,0.32258883118629456,0.010924332775175571,0.13808326423168182,0.022032763808965683,4.686690807342529,0.012805117294192314,0.13523432612419128,0.028014706447720528,0.05601499229669571
Spotx7,0.00570933660492301,0.004629442002624273,0.003081574337556958,0.006661310791969299,0.012339995242655277,0.004124324768781662,0.009582774713635445,0.009861813858151436,0.00951538234949112,0.15515093505382538,0.02210538275539875,0.012584494426846504,0.008350935764610767,0.014606090262532234,0.2918566167354584,3.4986395835876465,0.2658313512802124,1.1647429466247559,0.011790063232183456,0.007769194897264242,0.0034629020374268293,0.0063046352006495,0.7555323243141174,0.010018889792263508,0.02463344857096672,0.01435268297791481,0.009616535156965256,0.009232251904904842,0.01286714430898428,0.018115459010004997,0.2079923003911972,0.017123805359005928,0.011398586444556713,0.011799376457929611,0.5366697907447815,0.1103014349937439,0.03835855424404144,0.0638527050614357,0.12295032292604446,0.04488050192594528,0.08158984035253525,0.007900300435721874,0.0026591068599373102,0.0034095391165465117,0.01135394535958767,0.02335510030388832
Spotx8,0.060771409422159195,0.08027714490890503,1.5811814069747925,1.3684483766555786,0.10651436448097229,0.06638246774673462,0.03862760588526726,0.08177630603313446,0.22174446284770966,1.2140480279922485,0.08522751927375793,0.5202820897102356,0.014596494846045971,0.016972091048955917,0.030314888805150986,0.016590114682912827,0.0059155370108783245,0.008393581956624985,0.012491034343838692,0.025464480742812157,0.007917904295027256,0.014260809868574142,0.04124242067337036,0.3091127276420593,0.5475060939788818,2.875175952911377,1.5463392734527588,0.016707519069314003,0.043983958661556244,0.0375211276113987,0.05255850777029991,0.0205478947609663,1.7841602563858032,0.027783716097474098,0.2181304693222046,0.02742117829620838,0.24475271999835968,0.03913232684135437,0.018232915550470352,0.16832926869392395,0.0581640750169754,0.1388399749994278,0.009651499800384045,0.016120079904794693,0.21163906157016754,0.4736872613430023
Spotx9,0.0662720799446106,0.06105317547917366,0.02640964277088642,0.8593549728393555,0.02296099252998829,0.011175237596035004,0.008989733643829823,0.006392462644726038,0.010664620436728,0.009053311310708523,0.04219012334942818,0.11810732632875443,0.0066477032378315926,0.01828748732805252,0.4672708511352539,0.02059089206159115,0.11241139471530914,0.014491995796561241,4.303986549377441,0.018787872046232224,0.007256020791828632,0.01740988716483116,1.1371054649353027,0.025784512981772423,0.32012122869491577,1.0344135761260986,0.2864057123661041,0.011548238806426525,0.03022666461765766,0.03734740614891052,0.02480381540954113,0.020926760509610176,0.018556436523795128,0.014177339151501656,0.5489165782928467,0.01530850026756525,0.3436540961265564,0.8433061242103577,0.017066780477762222,0.03446820005774498,0.03241127356886864,0.11289119720458984,0.009909739717841148,0.024110369384288788,0.1518733650445938,0.0782504454255104
Spotx10,0.029515879228711128,0.5035133957862854,0.3378106653690338,0.008973872289061546,0.02402934804558754,0.005082614719867706,0.009294313378632069,0.11971476674079895,0.004404326435178518,0.004202460870146751,0.024834487587213516,0.018140867352485657,0.01244357693940401,0.009782355278730392,0.006208871025592089,0.009758991189301014,0.002496013417840004,0.006286905612796545,0.11644529551267624,0.015897292643785477,0.009479726664721966,0.30998361110687256,1.1869547367095947,0.07466349005699158,0.01570976711809635,0.0243295356631279,0.018150396645069122,0.02229396440088749,0.015298889949917793,0.009704874828457832,0.007720593828707933,0.01883562095463276,0.01473317388445139,0.006118858233094215,0.5593998432159424,0.2280885875225067,0.46164146065711975,0.006121490150690079,0.009758252650499344,0.06175551936030388,0.02864493988454342,0.011911442503333092,0.006034558638930321,0.004723637364804745,0.022753095254302025,0.040180351585149765
