,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10,mean_cell_type_factorsfact_11
B_Cycling,0.0,0.0,0.0,0.0,0.6852638223802198,0.0,0.07110327936737175,0.0,0.0,0.056876582162410004,0.13487658373847033,0.05187973235152819
B_GC_DZ,0.0,0.0,0.0,0.0,0.5009900088465383,0.0,0.26054953741896664,0.0,0.0,0.04920007399244598,0.0,0.189260379742049
B_GC_LZ,0.0,0.0,0.0,0.0,0.74405073772066,0.0,0.0,0.0,0.0,0.0,0.0,0.25594926227934006
B_GC_prePB,0.0,0.0,0.0,0.0,0.794565985244198,0.0,0.0958684191453766,0.0,0.0,0.0,0.0,0.10956559561042555
B_IFN,0.0,0.0,0.0,0.0,0.08703457265496178,0.0,0.0,0.0,0.0,0.138168428076509,0.7747969992685292,0.0
B_activated,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
B_mem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8433766621996156,0.15662333780038432
B_naive,0.0,0.0,0.0,0.0,0.012348359933471196,0.0,0.14784567360466813,0.0,0.0,0.02217308770866645,0.0,0.8176328787531941
B_plasma,0.0,0.0,0.0,0.0,0.05384352741048465,0.0,0.5938620044938531,0.0,0.0,0.0746849494384478,0.1755839577516332,0.1020255609055814
B_preGC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03470706551185921,0.7521981180786984,0.21309481640944244
DC_CCR7+,0.0,0.0,0.0,0.0,0.013647484625539,0.0,0.2586861741817269,0.0,0.0,0.4128791613566936,0.2564395078891403,0.05834767194690017
DC_cDC1,0.0,0.0,0.0,0.0,0.05840711905244172,0.0,0.08834537208763664,0.0,0.0,0.1387017231324714,0.5287378570781184,0.18580792864933188
DC_cDC2,0.0,0.0,0.0,0.0,0.0,0.0,0.5199470251388271,0.0,0.0,0.0,0.3973609827752978,0.08269199208587506
DC_pDC,0.0,0.0,0.0,0.0,0.0029110293031499278,0.0,0.6485689996741849,0.0,0.0,0.05484372139502116,0.1620531591582795,0.1316230904693645
Endo,0.0,0.0,0.0,0.0,0.039869105869316836,0.0,0.4658982546376161,0.0,0.0,0.08869039796198352,0.26766426361103335,0.13787797792005022
FDC,0.0,0.0,0.0,0.0,0.37166927696348073,0.0,0.03759080278656367,0.0,0.0,0.02754030307541927,0.22727926821248692,0.3359203489620493
ILC,0.0,0.0,0.0,0.0,0.03675047161877492,0.0,0.8261962927566376,0.0,0.0,0.0,0.09702754370459932,0.040025691919988
Macrophages_M1,0.0,0.0,0.0,0.0,0.14595904066533244,0.0,0.27119180459066516,0.0,0.0,0.11604314296934416,0.2990386247896088,0.16776738698504937
Macrophages_M2,0.0,0.0,0.0,0.0,0.029650721903700057,0.0,0.6605613448397246,0.0,0.0,0.19423918598854958,0.05791474999279976,0.05763399727522586
Mast,0.0,0.0,0.0,0.0,0.0,0.0,0.6897440494433168,0.0,0.0,0.0,0.0,0.3102559505566832
Monocytes,0.0,0.0,0.0,0.0,0.0,0.0,0.7062919902662743,0.0,0.0,0.0,0.21908842040512935,0.0746195893285964
NK,0.0,0.0,0.0,0.0,0.0,0.0,0.6954893820386907,0.0,0.0,0.09664875411551034,0.0030179507544818643,0.204843913091317
NKT,0.0,0.0,0.0,0.0,0.0,0.0,0.6613147957297087,0.0,0.0,0.0,0.13909651668207768,0.19958868758821358
T_CD4+,0.0,0.0,0.0,0.0,0.0,0.0,0.1805112214575165,0.0,0.0,0.0,0.541400961158543,0.27808781738394056
T_CD4+_TfH,0.0,0.0,0.0,0.0,0.14216346725363405,0.0,0.7920814921484067,0.0,0.0,0.0,0.0657550405979593,0.0
T_CD4+_TfH_GC,0.0,0.0,0.0,0.0,0.3026298126466129,0.0,0.0,0.0,0.0,0.12255628290261092,0.03443442557902503,0.5403794788717511
T_CD4+_naive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9667636608422416,0.00972460378540171,0.023511735372356714
T_CD8+_CD161+,0.0,0.0,0.0,0.0,0.0,0.0,0.6055011550842001,0.0,0.0,0.048753922347757085,0.26736488994086777,0.07838003262717512
T_CD8+_cytotoxic,0.0,0.0,0.0,0.0,0.04636191467772642,0.0,0.4677921570039359,0.0,0.0,0.18960486574348712,0.06314246856055447,0.23309859401429614
T_CD8+_naive,0.0,0.0,0.0,0.0,0.0,0.0,0.2471011906680515,0.0,0.0,0.5479237039907858,0.17164405051671872,0.03333105482444393
T_TIM3+,0.0,0.0,0.0,0.0,0.07262863582491934,0.0,0.4041786091080553,0.0,0.0,0.12003996084307814,0.27712268123276274,0.12603011299118444
T_TfR,0.0,0.0,0.0,0.0,0.030452957601179793,0.0,0.30045985753144544,0.0,0.0,0.31325302980105574,0.2011154821342944,0.1547186729320247
T_Treg,0.0,0.0,0.0,0.0,0.1473079997236131,0.0,0.26658286156740174,0.0,0.0,0.25757999964909245,0.28770406208482135,0.04082507697507147
VSMC,0.0,0.0,0.0,0.0,0.024313240642772637,0.0,0.44346347864068697,0.0,0.0,0.15724701554841317,0.2483837898275222,0.12659247534060494
