,mean_cell_type_factorsfact_0,mean_cell_type_factorsfact_1,mean_cell_type_factorsfact_2,mean_cell_type_factorsfact_3,mean_cell_type_factorsfact_4,mean_cell_type_factorsfact_5,mean_cell_type_factorsfact_6,mean_cell_type_factorsfact_7,mean_cell_type_factorsfact_8,mean_cell_type_factorsfact_9,mean_cell_type_factorsfact_10
B_Cycling,0.0,0.026612667874722756,0.0,0.05525841191940061,0.6738307765058467,0.0,0.07217394341750684,0.0,0.04579630301121695,0.0,0.12632789727130625
B_GC_DZ,0.0,0.0,0.0,0.04804329034036251,0.5008720986768768,0.0,0.2590155368843961,0.0,0.19206907409836474,0.0,0.0
B_GC_LZ,0.0,0.0,0.0,0.0,0.7379602186891707,0.0,0.0,0.0,0.2620397813108293,0.0,0.0
B_GC_prePB,0.0,0.0,0.0,0.0,0.79404792738869,0.0,0.09738577403141838,0.0,0.10856629857989156,0.0,0.0
B_IFN,0.0,0.9533926752444427,0.0,0.010134058741773307,0.0014115126654461732,0.0,0.0005599541081511033,0.0,0.017900271823314762,0.0,0.016601527416871854
B_activated,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B_mem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0723117105813142,0.0,0.9276882894186858
B_naive,0.0,0.0,0.0,0.019741643513880955,0.007978020447934825,0.0,0.13674057614487278,0.0,0.802485683241523,0.0,0.03305407665178848
B_plasma,0.0,0.022063804641655742,0.0,0.0723760137781284,0.054932655466584296,0.0,0.5894876831497045,0.0,0.0942141971790032,0.0,0.1669256457849239
B_preGC,0.0,0.015815792921348305,0.0,0.042062705393066974,0.006069533176072987,0.0,0.0,0.0,0.16438460792582288,0.0,0.7716673605836888
DC_CCR7+,0.0,0.11327914981628767,0.0,0.38185155802563936,0.011753368432799293,0.0,0.25127750219901646,0.0,0.0558055335535486,0.0,0.1860328879727086
DC_cDC1,0.0,0.0,0.0,0.14094851472845732,0.06679205894194357,0.0,0.09627568635301126,0.0,0.14557643587859093,0.0,0.5504073040979969
DC_cDC2,0.0,0.04801222116188611,0.0,0.0,0.0,0.0,0.5193837642172213,0.0,0.06548130187840373,0.0,0.36712271274248887
DC_pDC,0.0,0.0,0.0,0.05582107460435248,0.006400380653973771,0.0,0.6604002110415156,0.0,0.1276365108396082,0.0,0.14974182286054985
Endo,0.0,0.04276732978603467,0.0,0.0841706540131145,0.040474559473166936,0.0,0.45553434594253145,0.0,0.12196000131215229,0.0,0.25509310947300023
FDC,0.0,0.10101871940058894,0.0,0.020478408502042925,0.34175739372417546,0.0,0.03486237511172044,0.0,0.31019397192229303,0.0,0.19168913133917914
ILC,0.0,0.0,0.0,0.0,0.04032002244589589,0.0,0.8488576457412007,0.0,0.03973291103992899,0.0,0.07108942077297427
Macrophages_M1,0.0,0.06426910873309939,0.0,0.10866627769692501,0.14028950864519937,0.0,0.26389523844337315,0.0,0.1494278620480499,0.0,0.27345200443335327
Macrophages_M2,0.0,0.0,0.0,0.19539100042566976,0.03128450549364485,0.0,0.669378992905295,0.0,0.0575261558536572,0.0,0.04641934532173314
Mast,0.0,0.0,0.0,0.0,0.0,0.0,0.7166300106609489,0.0,0.28336998933905116,0.0,0.0
Monocytes,0.0,0.0,0.0,0.0,0.0,0.0,0.7196388818162962,0.0,0.061649608220500404,0.0,0.21871150996320346
NK,0.0,0.0,0.0,0.09165425663560633,0.0,0.0,0.7099306583825402,0.0,0.19841508498185348,0.0,0.0
NKT,0.0,0.0,0.0,0.0,0.0,0.0,0.6664466042539539,0.0,0.17715310862095782,0.0,0.1564002871250884
T_CD4+,0.0,0.0,0.0,0.0,0.0,0.0,0.18451039659657045,0.0,0.2210225427720115,0.0,0.5944670606314181
T_CD4+_TfH,0.0,0.0,0.0,0.0,0.14657742764317935,0.0,0.8080749707616094,0.0,0.0,0.0,0.0453476015952115
T_CD4+_TfH_GC,0.0,0.0199773361232615,0.0,0.11896359689581901,0.29309441623330984,0.0,0.0,0.0,0.5298667218870708,0.0,0.038097928860539004
T_CD4+_naive,0.0,0.0,0.0,0.9608111130813469,0.0,0.0,0.0,0.0,0.01747509469778705,0.0,0.021713792220866012
T_CD8+_CD161+,0.0,0.05014738751948041,0.0,0.049125791902345485,0.0,0.0,0.6206832885044984,0.0,0.08077886782255198,0.0,0.19926466425112388
T_CD8+_cytotoxic,0.0,0.0008758092479592035,0.0,0.19210490866681867,0.0476956483704305,0.0,0.47757393835643774,0.0,0.23729208887636552,0.0,0.044457606481988245
T_CD8+_naive,0.0,0.0,0.0,0.5543541907793019,0.0,0.0,0.2622189136965048,0.0,0.026337711774909157,0.0,0.15708918374928413
T_TIM3+,0.0,0.17224563106338442,0.0,0.0990641082139309,0.06070782921639834,0.0,0.3713450767398648,0.0,0.12275701261719953,0.0,0.17388034214922213
T_TfR,0.0,0.11226506552031906,0.0,0.28721966689432826,0.025574323905515728,0.0,0.28617062261337023,0.0,0.14837380770292147,0.0,0.14039651336354522
T_Treg,0.0,0.0,0.0,0.262190130468579,0.15534151479791125,0.0,0.28055298061548506,0.0,0.02797832378457353,0.0,0.27393705033345134
VSMC,0.0,0.023831190681175084,0.0,0.15426892496626976,0.02680550292824363,0.0,0.4403262395315812,0.0,0.11270187092665045,0.0,0.24206627096608005
