,top-1,top-2,top-3,top-4,top-5,top-6,top-7,top-8,top-9,top-10
mean_cell_type_factorsfact_0,Monocytes: 0.65,Mast: 0.13,DC_cDC2: 0.079,T_CD4+: 0.063,Endo: 0.055,NKT: 0.042,T_Treg: 0.023,T_TIM3+: 0.018,T_CD8+_CD161+: 0.017,VSMC: 0.012
mean_cell_type_factorsfact_1,B_naive: 0.55,B_mem: 0.12,B_activated: 0.11,B_GC_LZ: 0.092,T_CD4+_TfH: 0.082,T_CD4+_TfH_GC: 0.071,ILC: 0.07,T_Treg: 0.058,T_TIM3+: 0.048,T_CD8+_cytotoxic: 0.046
mean_cell_type_factorsfact_2,Endo: 0.49,VSMC: 0.058,Mast: 0.051,ILC: 0.042,T_CD4+: 0.041,DC_cDC2: 0.033,NKT: 0.031,T_CD8+_CD161+: 0.023,B_activated: 0.022,Macrophages_M1: 0.021
mean_cell_type_factorsfact_3,B_mem: 0.82,T_CD4+: 0.28,B_preGC: 0.15,T_CD4+_naive: 0.13,DC_cDC1: 0.11,NKT: 0.11,B_activated: 0.11,B_naive: 0.11,T_TfR: 0.054,Mast: 0.051
mean_cell_type_factorsfact_4,T_CD8+_cytotoxic: 0.45,T_CD8+_CD161+: 0.2,T_CD8+_naive: 0.2,NKT: 0.14,T_CD4+_TfH: 0.14,NK: 0.079,T_TIM3+: 0.043,B_GC_prePB: 0.032,DC_pDC: 0.031,Macrophages_M2: 0.024
mean_cell_type_factorsfact_5,B_Cycling: 0.79,B_GC_prePB: 0.14,DC_cDC1: 0.094,B_GC_DZ: 0.088,FDC: 0.078,Macrophages_M1: 0.063,T_CD4+_TfH_GC: 0.054,Mast: 0.053,T_CD4+: 0.052,B_GC_LZ: 0.033
mean_cell_type_factorsfact_6,T_Treg: 0.58,T_TfR: 0.54,DC_CCR7+: 0.34,T_CD4+_TfH: 0.22,T_CD8+_cytotoxic: 0.15,T_CD8+_naive: 0.14,T_CD8+_CD161+: 0.12,T_CD4+_naive: 0.11,ILC: 0.095,T_TIM3+: 0.078
mean_cell_type_factorsfact_7,B_activated: 0.56,ILC: 0.27,T_CD4+_TfH: 0.21,NKT: 0.2,T_CD8+_CD161+: 0.18,B_naive: 0.16,B_plasma: 0.13,Macrophages_M2: 0.12,T_CD8+_naive: 0.12,NK: 0.094
mean_cell_type_factorsfact_8,T_CD4+_naive: 0.68,T_CD8+_naive: 0.31,T_CD4+: 0.061,B_IFN: 0.048,DC_CCR7+: 0.048,T_Treg: 0.046,DC_cDC1: 0.041,B_preGC: 0.036,T_CD8+_CD161+: 0.034,Macrophages_M2: 0.03
mean_cell_type_factorsfact_9,B_plasma: 0.64,Mast: 0.071,T_CD4+_TfH: 0.065,Macrophages_M2: 0.048,T_CD8+_naive: 0.036,T_TIM3+: 0.036,NK: 0.035,Monocytes: 0.033,T_CD8+_CD161+: 0.031,T_CD8+_cytotoxic: 0.03
mean_cell_type_factorsfact_10,B_IFN: 0.74,DC_CCR7+: 0.026,T_TfR: 0.026,T_TIM3+: 0.023,T_CD8+_cytotoxic: 0.02,FDC: 0.019,NK: 0.017,T_Treg: 0.014,DC_cDC1: 0.013,B_Cycling: 0.011
mean_cell_type_factorsfact_11,DC_pDC: 0.71,DC_cDC2: 0.12,T_Treg: 0.12,ILC: 0.076,T_CD8+_naive: 0.067,NK: 0.066,T_CD8+_CD161+: 0.062,T_CD4+_TfH: 0.06,VSMC: 0.053,T_TIM3+: 0.052
