,top-1,top-2,top-3,top-4,top-5,top-6,top-7,top-8,top-9,top-10
mean_cell_type_factorsfact_0,DC_cDC1: 0.59,T_CD4+: 0.15,DC_cDC2: 0.1,T_CD4+_naive: 0.088,Macrophages_M1: 0.077,DC_pDC: 0.075,NKT: 0.069,B_GC_prePB: 0.049,B_Cycling: 0.048,B_plasma: 0.047
mean_cell_type_factorsfact_1,T_TIM3+: 0.47,DC_cDC2: 0.24,DC_pDC: 0.18,ILC: 0.17,NK: 0.15,DC_CCR7+: 0.14,Mast: 0.1,VSMC: 0.098,Endo: 0.08,Monocytes: 0.073
mean_cell_type_factorsfact_2,T_Treg: 0.65,T_TfR: 0.57,T_CD8+_cytotoxic: 0.45,DC_CCR7+: 0.44,T_CD4+_TfH: 0.35,NK: 0.29,T_CD8+_CD161+: 0.26,ILC: 0.18,DC_pDC: 0.17,T_CD8+_naive: 0.17
mean_cell_type_factorsfact_3,B_naive: 0.65,B_activated: 0.15,T_CD4+_TfH_GC: 0.13,T_CD4+_TfH: 0.12,B_mem: 0.11,ILC: 0.1,T_CD8+_cytotoxic: 0.073,NK: 0.069,B_GC_LZ: 0.065,T_TIM3+: 0.063
mean_cell_type_factorsfact_4,B_mem: 0.81,T_CD4+: 0.33,B_preGC: 0.15,T_CD4+_naive: 0.15,FDC: 0.15,NKT: 0.15,B_activated: 0.13,B_naive: 0.13,DC_cDC1: 0.12,T_CD4+_TfH_GC: 0.071
mean_cell_type_factorsfact_5,B_plasma: 0.75,B_activated: 0.22,T_CD4+_TfH: 0.17,T_CD8+_CD161+: 0.13,VSMC: 0.12,Mast: 0.12,T_CD8+_cytotoxic: 0.11,Monocytes: 0.11,T_CD8+_naive: 0.11,NKT: 0.11
mean_cell_type_factorsfact_6,B_Cycling: 0.77,B_GC_DZ: 0.55,B_GC_prePB: 0.25,FDC: 0.18,DC_cDC1: 0.11,Macrophages_M1: 0.096,T_CD4+: 0.082,Mast: 0.067,T_CD4+_TfH_GC: 0.058,NKT: 0.049
mean_cell_type_factorsfact_7,B_preGC: 0.62,B_Cycling: 0.13,T_TIM3+: 0.11,T_TfR: 0.073,Mast: 0.07,DC_cDC1: 0.059,Macrophages_M1: 0.05,B_plasma: 0.042,T_CD4+_TfH_GC: 0.034,NKT: 0.033
mean_cell_type_factorsfact_8,T_CD4+_naive: 0.75,T_CD8+_naive: 0.43,T_Treg: 0.16,T_TfR: 0.12,DC_CCR7+: 0.12,Macrophages_M2: 0.11,T_CD4+: 0.081,T_CD8+_CD161+: 0.065,B_IFN: 0.06,VSMC: 0.058
mean_cell_type_factorsfact_9,B_IFN: 0.77,FDC: 0.061,DC_CCR7+: 0.043,T_CD8+_cytotoxic: 0.039,T_TfR: 0.037,NK: 0.037,Monocytes: 0.034,T_TIM3+: 0.029,T_Treg: 0.019,Macrophages_M2: 0.018
mean_cell_type_factorsfact_10,Macrophages_M1: 0.48,Endo: 0.43,DC_cDC2: 0.37,Monocytes: 0.34,VSMC: 0.32,Mast: 0.28,DC_CCR7+: 0.23,T_CD4+: 0.2,NKT: 0.16,ILC: 0.11
mean_cell_type_factorsfact_11,Macrophages_M2: 0.76,DC_pDC: 0.47,B_activated: 0.42,Endo: 0.38,Monocytes: 0.37,ILC: 0.29,NK: 0.29,DC_cDC2: 0.26,T_CD8+_CD161+: 0.26,NKT: 0.22
mean_cell_type_factorsfact_12,B_GC_LZ: 0.81,T_CD4+_TfH_GC: 0.56,FDC: 0.53,B_GC_prePB: 0.44,B_GC_DZ: 0.14,Macrophages_M1: 0.096,T_CD4+_TfH: 0.051,T_TfR: 0.05,NK: 0.048,T_TIM3+: 0.046
