,top-1,top-2,top-3,top-4,top-5,top-6,top-7,top-8,top-9,top-10
mean_cell_type_factorsfact_0,DC_pDC: 0.49,B_activated: 0.42,ILC: 0.29,T_CD4+_TfH: 0.17,Monocytes: 0.17,DC_cDC2: 0.15,T_CD8+_CD161+: 0.15,NKT: 0.14,B_naive: 0.13,NK: 0.11
mean_cell_type_factorsfact_1,B_Cycling: 0.77,B_GC_DZ: 0.46,B_GC_prePB: 0.19,FDC: 0.09,DC_cDC1: 0.084,Macrophages_M1: 0.064,T_CD4+_TfH_GC: 0.063,T_CD4+: 0.06,Mast: 0.058,B_GC_LZ: 0.041
mean_cell_type_factorsfact_2,DC_cDC2: 0.67,DC_CCR7+: 0.44,Mast: 0.25,Monocytes: 0.24,ILC: 0.12,T_TfR: 0.067,B_preGC: 0.061,T_CD4+: 0.059,NKT: 0.056,Endo: 0.046
mean_cell_type_factorsfact_3,FDC: 0.64,B_GC_prePB: 0.19,T_CD4+_TfH_GC: 0.056,B_activated: 0.046,Macrophages_M1: 0.032,DC_cDC1: 0.026,DC_CCR7+: 0.022,T_CD4+: 0.02,B_naive: 0.02,T_CD8+_cytotoxic: 0.016
mean_cell_type_factorsfact_4,T_CD4+_naive: 0.69,T_CD8+_naive: 0.31,T_CD4+: 0.064,T_Treg: 0.053,DC_CCR7+: 0.049,B_IFN: 0.048,DC_cDC1: 0.041,Macrophages_M2: 0.034,B_preGC: 0.032,T_CD8+_CD161+: 0.031
mean_cell_type_factorsfact_5,T_Treg: 0.62,T_TfR: 0.55,DC_CCR7+: 0.35,T_CD4+_TfH: 0.22,T_CD8+_cytotoxic: 0.17,T_CD8+_naive: 0.15,T_CD8+_CD161+: 0.13,T_CD4+_naive: 0.1,ILC: 0.1,T_TIM3+: 0.086
mean_cell_type_factorsfact_6,DC_cDC1: 0.57,T_CD4+: 0.13,T_CD4+_naive: 0.071,B_Cycling: 0.064,DC_pDC: 0.052,NKT: 0.05,Macrophages_M1: 0.045,Endo: 0.034,VSMC: 0.028,B_plasma: 0.024
mean_cell_type_factorsfact_7,T_CD8+_cytotoxic: 0.45,DC_pDC: 0.3,T_CD8+_CD161+: 0.22,T_CD8+_naive: 0.21,T_CD4+_TfH: 0.15,NKT: 0.13,NK: 0.11,T_Treg: 0.062,T_TIM3+: 0.055,Macrophages_M2: 0.044
mean_cell_type_factorsfact_8,NK: 0.45,B_GC_DZ: 0.26,ILC: 0.15,T_CD4+_TfH: 0.094,T_CD8+_CD161+: 0.06,DC_CCR7+: 0.058,T_CD8+_cytotoxic: 0.058,NKT: 0.047,Endo: 0.035,B_GC_prePB: 0.034
mean_cell_type_factorsfact_9,B_naive: 0.57,B_mem: 0.13,B_activated: 0.1,B_GC_LZ: 0.09,T_CD4+_TfH: 0.084,T_CD4+_TfH_GC: 0.071,ILC: 0.07,T_Treg: 0.061,T_TIM3+: 0.05,T_CD8+_cytotoxic: 0.046
