,top-1,top-2,top-3,top-4,top-5,top-6,top-7,top-8,top-9,top-10
mean_cell_type_factorsfact_0,DC_cDC1: 0.6,Macrophages_M1: 0.26,T_CD4+: 0.2,DC_cDC2: 0.19,DC_CCR7+: 0.15,Mast: 0.11,NKT: 0.095,T_CD4+_naive: 0.084,B_plasma: 0.078,B_GC_prePB: 0.075
mean_cell_type_factorsfact_1,B_naive: 0.69,B_activated: 0.17,T_CD4+_TfH: 0.13,T_CD4+_TfH_GC: 0.13,B_mem: 0.12,ILC: 0.11,T_CD8+_cytotoxic: 0.087,NK: 0.083,B_GC_LZ: 0.07,T_Treg: 0.069
mean_cell_type_factorsfact_2,B_mem: 0.81,T_CD4+: 0.36,NKT: 0.16,FDC: 0.16,T_CD4+_naive: 0.16,B_preGC: 0.15,B_naive: 0.13,DC_cDC1: 0.13,B_activated: 0.12,VSMC: 0.11
mean_cell_type_factorsfact_3,T_CD4+_naive: 0.75,T_CD8+_naive: 0.45,T_Treg: 0.17,Macrophages_M2: 0.12,T_TfR: 0.12,DC_CCR7+: 0.11,T_CD4+: 0.084,T_CD8+_CD161+: 0.07,B_IFN: 0.061,VSMC: 0.058
mean_cell_type_factorsfact_4,T_TIM3+: 0.49,DC_cDC2: 0.27,DC_pDC: 0.21,ILC: 0.18,NK: 0.15,DC_CCR7+: 0.14,Mast: 0.11,Endo: 0.095,VSMC: 0.09,Monocytes: 0.075
mean_cell_type_factorsfact_5,B_IFN: 0.77,FDC: 0.062,DC_CCR7+: 0.045,Monocytes: 0.044,T_TfR: 0.039,T_CD8+_cytotoxic: 0.037,NK: 0.035,T_TIM3+: 0.031,T_Treg: 0.019,Macrophages_M1: 0.019
mean_cell_type_factorsfact_6,T_Treg: 0.67,T_TfR: 0.59,DC_CCR7+: 0.48,T_CD8+_cytotoxic: 0.46,T_CD4+_TfH: 0.36,NK: 0.3,T_CD8+_CD161+: 0.27,ILC: 0.2,DC_pDC: 0.17,T_CD8+_naive: 0.17
mean_cell_type_factorsfact_7,B_Cycling: 0.78,B_GC_DZ: 0.56,B_GC_prePB: 0.25,FDC: 0.17,DC_cDC1: 0.13,T_CD4+: 0.085,Macrophages_M1: 0.074,Mast: 0.065,NKT: 0.055,T_CD4+_TfH_GC: 0.052
mean_cell_type_factorsfact_8,B_preGC: 0.63,B_Cycling: 0.14,T_TIM3+: 0.13,T_TfR: 0.071,Mast: 0.066,DC_cDC1: 0.054,B_plasma: 0.039,T_CD4+_TfH_GC: 0.036,NKT: 0.03,DC_pDC: 0.028
mean_cell_type_factorsfact_9,Endo: 0.62,Monocytes: 0.51,DC_cDC2: 0.44,Macrophages_M2: 0.43,VSMC: 0.38,B_activated: 0.31,Mast: 0.31,ILC: 0.27,DC_pDC: 0.27,Macrophages_M1: 0.26
mean_cell_type_factorsfact_10,B_GC_LZ: 0.83,T_CD4+_TfH_GC: 0.57,FDC: 0.55,B_GC_prePB: 0.46,B_GC_DZ: 0.14,Macrophages_M1: 0.14,T_TfR: 0.049,B_naive: 0.049,T_TIM3+: 0.046,T_CD4+_TfH: 0.046
mean_cell_type_factorsfact_11,B_plasma: 0.81,Macrophages_M2: 0.43,B_activated: 0.36,T_CD4+_TfH: 0.27,DC_pDC: 0.24,T_CD8+_CD161+: 0.22,NK: 0.22,Monocytes: 0.21,T_CD8+_cytotoxic: 0.2,ILC: 0.19
