,top-1,top-2,top-3,top-4,top-5,top-6,top-7,top-8,top-9,top-10
mean_cell_type_factorsfact_0,T_CD4+_naive: 0.69,T_CD8+_naive: 0.29,T_CD4+: 0.061,T_Treg: 0.06,B_IFN: 0.05,DC_CCR7+: 0.049,T_TfR: 0.04,DC_cDC1: 0.04,B_preGC: 0.036,T_CD8+_CD161+: 0.035
mean_cell_type_factorsfact_1,VSMC: 0.47,NKT: 0.086,T_CD4+: 0.073,Endo: 0.056,Mast: 0.055,Monocytes: 0.037,B_activated: 0.034,B_plasma: 0.031,B_mem: 0.016,T_CD8+_CD161+: 0.015
mean_cell_type_factorsfact_2,B_naive: 0.55,B_mem: 0.12,B_activated: 0.11,B_GC_LZ: 0.092,T_CD4+_TfH_GC: 0.068,T_CD4+_TfH: 0.068,T_TIM3+: 0.046,T_Treg: 0.045,T_CD8+_cytotoxic: 0.044,NK: 0.038
mean_cell_type_factorsfact_3,DC_cDC2: 0.67,Mast: 0.21,DC_CCR7+: 0.088,ILC: 0.053,Monocytes: 0.052,T_CD4+: 0.049,Endo: 0.043,VSMC: 0.042,B_preGC: 0.041,Macrophages_M1: 0.041
mean_cell_type_factorsfact_4,DC_pDC: 0.68,NK: 0.046,T_CD8+_naive: 0.043,VSMC: 0.042,T_CD8+_CD161+: 0.038,ILC: 0.036,T_TIM3+: 0.034,Macrophages_M1: 0.033,DC_cDC2: 0.032,Macrophages_M2: 0.03
mean_cell_type_factorsfact_5,T_Treg: 0.56,T_TfR: 0.36,T_CD4+_TfH: 0.18,T_CD8+_cytotoxic: 0.13,T_CD8+_naive: 0.11,T_CD8+_CD161+: 0.1,T_CD4+_naive: 0.086,T_TIM3+: 0.072,B_GC_prePB: 0.061,NK: 0.061
mean_cell_type_factorsfact_6,FDC: 0.63,B_GC_prePB: 0.17,T_CD4+_TfH_GC: 0.064,Macrophages_M1: 0.032,B_GC_DZ: 0.02,B_naive: 0.018,DC_cDC1: 0.017,T_CD4+: 0.015,B_IFN: 0.012,B_activated: 0.0071
mean_cell_type_factorsfact_7,B_activated: 0.57,NKT: 0.18,B_naive: 0.16,T_CD4+_TfH: 0.16,T_CD8+_CD161+: 0.15,B_plasma: 0.14,Macrophages_M2: 0.13,T_CD8+_naive: 0.1,ILC: 0.095,NK: 0.092
mean_cell_type_factorsfact_8,B_IFN: 0.72,T_TIM3+: 0.021,T_CD8+_cytotoxic: 0.019,FDC: 0.018,T_TfR: 0.018,T_Treg: 0.015,NK: 0.014,DC_cDC1: 0.013,B_Cycling: 0.011,T_CD4+_TfH: 0.0096
mean_cell_type_factorsfact_9,B_GC_LZ: 0.69,B_GC_prePB: 0.25,T_CD4+_TfH_GC: 0.15,FDC: 0.14,B_GC_DZ: 0.062,B_IFN: 0.031,Macrophages_M1: 0.027,T_TIM3+: 0.027,B_naive: 0.025,T_CD4+_TfH: 0.024
mean_cell_type_factorsfact_10,Macrophages_M1: 0.53,T_CD4+: 0.11,Mast: 0.088,NKT: 0.078,Endo: 0.051,VSMC: 0.047,DC_cDC1: 0.042,B_GC_prePB: 0.04,B_activated: 0.029,T_CD8+_cytotoxic: 0.017
mean_cell_type_factorsfact_11,NK: 0.43,T_CD4+_TfH: 0.069,T_CD8+_cytotoxic: 0.061,T_CD8+_CD161+: 0.047,T_Treg: 0.042,NKT: 0.04,ILC: 0.036,T_TIM3+: 0.035,VSMC: 0.03,B_plasma: 0.024
mean_cell_type_factorsfact_12,B_Cycling: 0.79,B_GC_prePB: 0.14,DC_cDC1: 0.094,B_GC_DZ: 0.087,FDC: 0.077,Macrophages_M1: 0.062,T_CD4+: 0.052,Mast: 0.052,T_CD4+_TfH_GC: 0.051,B_GC_LZ: 0.031
mean_cell_type_factorsfact_13,T_TIM3+: 0.38,VSMC: 0.036,B_preGC: 0.033,Mast: 0.029,NK: 0.028,B_Cycling: 0.024,ILC: 0.022,T_TfR: 0.021,B_plasma: 0.018,T_CD8+_CD161+: 0.018
mean_cell_type_factorsfact_14,DC_CCR7+: 0.65,T_TfR: 0.35,NKT: 0.059,T_CD8+_cytotoxic: 0.047,T_TIM3+: 0.03,B_IFN: 0.029,B_preGC: 0.024,NK: 0.019,T_CD4+: 0.017,Endo: 0.015
mean_cell_type_factorsfact_15,Monocytes: 0.65,Mast: 0.12,T_CD4+: 0.059,Endo: 0.057,NKT: 0.044,DC_cDC2: 0.034,ILC: 0.017,T_CD8+_CD161+: 0.014,Macrophages_M2: 0.014,T_TIM3+: 0.013
