,top-1,top-2,top-3,top-4,top-5,top-6,top-7,top-8,top-9,top-10
mean_cell_type_factorsfact_0,B_activated: 0.57,NKT: 0.18,B_naive: 0.16,T_CD4+_TfH: 0.15,T_CD8+_CD161+: 0.15,B_plasma: 0.14,Macrophages_M2: 0.13,T_CD8+_naive: 0.11,NK: 0.092,Monocytes: 0.078
mean_cell_type_factorsfact_1,B_naive: 0.55,B_mem: 0.12,B_activated: 0.11,B_GC_LZ: 0.091,T_CD4+_TfH_GC: 0.068,T_CD4+_TfH: 0.067,T_TIM3+: 0.046,T_Treg: 0.045,T_CD8+_cytotoxic: 0.044,NK: 0.038
mean_cell_type_factorsfact_2,T_Treg: 0.58,T_CD4+_TfH: 0.19,T_CD8+_naive: 0.15,T_TfR: 0.13,T_CD8+_cytotoxic: 0.13,T_CD8+_CD161+: 0.11,NK: 0.072,T_CD4+_naive: 0.07,T_TIM3+: 0.07,B_GC_prePB: 0.062
mean_cell_type_factorsfact_3,T_TIM3+: 0.38,VSMC: 0.037,B_preGC: 0.034,NK: 0.031,Mast: 0.025,B_Cycling: 0.024,T_TfR: 0.02,Endo: 0.019,T_CD8+_naive: 0.019,ILC: 0.018
mean_cell_type_factorsfact_4,Monocytes: 0.65,Mast: 0.12,T_CD4+: 0.058,Endo: 0.057,NKT: 0.044,DC_cDC2: 0.035,ILC: 0.016,Macrophages_M2: 0.014,T_CD8+_CD161+: 0.014,T_TIM3+: 0.012
mean_cell_type_factorsfact_5,ILC: 0.57,T_CD4+_TfH: 0.15,T_CD8+_CD161+: 0.1,Mast: 0.047,T_CD8+_naive: 0.046,NK: 0.035,VSMC: 0.029,NKT: 0.021,DC_pDC: 0.017,Endo: 0.012
mean_cell_type_factorsfact_6,T_CD4+_naive: 0.68,T_CD8+_naive: 0.29,T_TfR: 0.069,T_CD4+: 0.063,T_Treg: 0.061,B_IFN: 0.05,DC_CCR7+: 0.043,DC_cDC1: 0.04,T_CD8+_CD161+: 0.036,B_preGC: 0.035
mean_cell_type_factorsfact_7,DC_cDC2: 0.67,Mast: 0.2,Monocytes: 0.051,T_CD4+: 0.049,ILC: 0.047,Macrophages_M1: 0.042,Endo: 0.042,VSMC: 0.041,B_preGC: 0.04,DC_cDC1: 0.038
mean_cell_type_factorsfact_8,DC_pDC: 0.68,NK: 0.044,T_CD8+_naive: 0.042,VSMC: 0.041,T_CD8+_CD161+: 0.035,T_TIM3+: 0.034,Macrophages_M1: 0.033,Macrophages_M2: 0.03,DC_cDC2: 0.029,Monocytes: 0.023
mean_cell_type_factorsfact_9,T_CD4+_TfH_GC: 0.53,B_GC_prePB: 0.078,B_GC_LZ: 0.074,FDC: 0.06,T_CD4+_TfH: 0.044,B_naive: 0.034,T_TfR: 0.033,Macrophages_M1: 0.023,T_CD8+_cytotoxic: 0.019,B_activated: 0.016
