ENSEMBL,means_sample_effectsample_5705STDY8058280,means_sample_effectsample_5705STDY8058281
ENSMUSG00000051951,0.2633393108844757,0.24909324944019318
ENSMUSG00000089699,0.047279488295316696,0.06386537104845047
ENSMUSG00000033845,0.00808129645884037,0.01587834767997265
ENSMUSG00000033813,0.009442218579351902,0.018168503418564796
ENSMUSG00000002459,0.026084113866090775,0.026844048872590065
ENSMUSG00000033793,0.03390847146511078,0.04568260535597801
ENSMUSG00000025905,0.000826445349957794,0.0008739106124266982
ENSMUSG00000025907,0.05893617495894432,0.07644747197628021
ENSMUSG00000090031,0.006061897147446871,0.013930980116128922
ENSMUSG00000033740,0.06314706802368164,0.0690525621175766
ENSMUSG00000051285,0.0342976376414299,0.049489378929138184
ENSMUSG00000097797,0.0028119555208832026,0.004992678761482239
ENSMUSG00000025909,0.14417357742786407,0.140269473195076
ENSMUSG00000061024,0.003704907838255167,0.00407265592366457
ENSMUSG00000025911,0.0027486796025186777,0.004534426610916853
ENSMUSG00000067879,0.009586678817868233,0.005483698099851608
ENSMUSG00000045210,0.0122841140255332,0.012726467102766037
ENSMUSG00000025915,0.01310445461422205,0.020976850762963295
ENSMUSG00000046101,0.010970288887619972,0.008847548626363277
ENSMUSG00000087199,0.0022043881472200155,0.0037070002872496843
ENSMUSG00000025917,0.01916958950459957,0.010050417855381966
ENSMUSG00000056763,0.07033733278512955,0.08043858408927917
ENSMUSG00000067851,0.04882745072245598,0.045634493231773376
ENSMUSG00000042501,0.006125215906649828,0.005999679211527109
ENSMUSG00000048960,0.013664761558175087,0.014034947380423546
ENSMUSG00000057715,0.048901744186878204,0.04969846457242966
ENSMUSG00000016918,0.008479361422359943,0.006237644236534834
ENSMUSG00000025938,0.0019648284651339054,0.0012948113726451993
ENSMUSG00000005886,0.06179479882121086,0.09980394691228867
ENSMUSG00000025935,0.00951250921934843,0.008641383610665798
ENSMUSG00000025937,0.012251028791069984,0.010026498697698116
ENSMUSG00000025932,0.0024113813415169716,0.004143117927014828
ENSMUSG00000032769,9.69971006270498e-05,6.888634379720315e-05
ENSMUSG00000092083,0.1003115177154541,0.10526233166456223
ENSMUSG00000025925,0.01840367540717125,0.0415593646466732
ENSMUSG00000067795,0.0024735110346227884,0.002243706723675132
ENSMUSG00000043716,0.010178067721426487,0.01671936735510826
ENSMUSG00000025921,0.0027076967526227236,0.003521935548633337
ENSMUSG00000025920,0.04940479248762131,0.049107033759355545
ENSMUSG00000025939,0.042966343462467194,0.027088552713394165
ENSMUSG00000079658,0.012177979573607445,0.014990996569395065
ENSMUSG00000025940,0.008343610912561417,0.006501032039523125
ENSMUSG00000101640,0.07892981171607971,0.08908320218324661
ENSMUSG00000042686,0.022648675367236137,0.02334384247660637
ENSMUSG00000025777,0.011177103966474533,0.01227089948952198
ENSMUSG00000085125,0.0017685217317193747,0.0019710895139724016
ENSMUSG00000025776,0.0036719380877912045,0.0035488593857735395
ENSMUSG00000099895,0.018057674169540405,0.007891613058745861
ENSMUSG00000089787,9.091921674553305e-05,0.00024664984084665775
ENSMUSG00000042596,0.0007727867923676968,0.0011934585636481643
ENSMUSG00000043760,0.005053366534411907,0.002810931298881769
ENSMUSG00000025931,0.012350435368716717,0.016559509560465813
ENSMUSG00000025933,0.004985099192708731,0.005032006651163101
