"","predicted.id","prediction.score.Inh_4","prediction.score.Oligo_2","prediction.score.Ext_Hpc_4","prediction.score.Ext_Unk_3","prediction.score.OPC_1","prediction.score.Inh_1","prediction.score.Ext_Pir","prediction.score.Ext_ClauPyr","prediction.score.LowQ_2","prediction.score.Ext_Amy_2","prediction.score.Micro","prediction.score.Ext_L23","prediction.score.Inh_Pvalb","prediction.score.Inh_5","prediction.score.Inh_Sst","prediction.score.Ext_Thal_1","prediction.score.Ext_L25","prediction.score.OPC_2","prediction.score.Ext_Hpc_1","prediction.score.Inh_Meis2_2","prediction.score.Astro_0","prediction.score.Inh_6","prediction.score.Unk_1","prediction.score.Ext_L5_2","prediction.score.Ext_L5_1","prediction.score.Ext_L56","prediction.score.Astro_2","prediction.score.Inh_Meis2_1","prediction.score.Ext_Hpc_2","prediction.score.Ext_L6","prediction.score.Oligo_1","prediction.score.Ext_Amy_1","prediction.score.Inh_Lamp5","prediction.score.Inh_2","prediction.score.Ext_Thal_2","prediction.score.Astro_1","prediction.score.Inh_Vip","prediction.score.Inh_Meis2_3","prediction.score.Inh_3","prediction.score.Ext_Hpc_3","prediction.score.Astro_3","prediction.score.Ext_L6B","prediction.score.Inh_Meis2_4","prediction.score.Nb_2","prediction.score.Nb_1","prediction.score.Astro_4","prediction.score.max","spot"
"Spotx1","Astro_0",0.00112241413348127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000334956975561607,0.681949671425181,0,0,0,0,0,0.241346475205643,0,0,0,0,0,0,0,0,0.0266438168634386,0,0,0,0,0.0416343251786426,0,0,0,0,0.00696834021805243,0.681949671425181,"Spotx1"
"Spotx2","Inh_Sst",0,0,0,0,0,0,0.0281845692514541,0,0,0,0,0,0.0539690521201765,0,0.851760016961153,0,0,0,0,0.0310938570752284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278618611681655,0.00713064342382217,0,0,0,0,0,0,0,0,0.851760016961153,"Spotx2"
"Spotx3","Inh_Sst",0.00995599285096993,0.00263579349568967,0,0,0,0.00646646258753924,0,0,0,0,0,0,0.101763893961989,0,0.716149261097163,0,0.112246110409642,0,0,0.000240955900366349,0,0,0,0,0,0,0,0.0323620809748433,0,0,0,0,0,0,0,0,0.00803828071697876,0.0101411680048179,0,0,0,0,0,0,0,0,0.716149261097163,"Spotx3"
"Spotx4","Ext_L5_1",0.0211657022404993,0,0,0,0,0.0426168009292093,0.125978369684663,0,0,0,0.326666279869949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473404455574304,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010168391701375,0,0,0,0,0,0,0,0.473404455574304,"Spotx4"
"Spotx5","Inh_Lamp5",0,0,0,0,0,0.0226909580454253,0.266084392082041,0,0,0,0,0,0.113976042030735,0,0.0434592864628632,0,0,0,0,0.0229866624536543,0.0480358622569298,0,0,0,0.039876142769226,0,0,0,0,0,0,0.0253797926659403,0.336693389574366,0,0,0,0.0508262058844429,0.00269253637101956,0,0,0,0,0,0.00353759241457156,0,0.0237611369887847,0.336693389574366,"Spotx5"
"Spotx6","OPC_1",7.20185055446935e-05,0,0,0,0.990021157235138,0,0,0,0,0,0,0,0,0,0,0,0,0.00836829058448639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153853367483143,0,0,0,0,0,0,0,0,0,0.990021157235138,"Spotx6"
"Spotx7","Ext_L5_1",0,0,0,0,0,0,0,0,0,0,0,0.00109111075416594,0.00291736825009657,0,0,0,0,0,0,0,0,0,0,0,0.979379564885152,0,0,0,0,0.0166119561105851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979379564885152,"Spotx7"
"Spotx8","Ext_Pir",0.165490875560712,0.00732985681128265,0,0,0,0.00155740415794069,0.261343131935755,0,0,0,0,0,0,0.132358809844044,0,0,0,0,0,0,0,0,0.066179404922022,0,0,0,0.0638662249663584,0,0.0137697038491631,0,0,0.151480725135987,0.000258573352772977,0.0283008669141866,0,0,0.00920190847007685,0,0.046732415635514,0.0521300984441845,0,0,0,0,0,0,0.261343131935755,"Spotx8"
"Spotx9","Ext_L56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505112229490224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494887770509776,0,0,0,0,0.505112229490224,"Spotx9"
"Spotx10","Inh_Sst",0.00722281045019321,0.0103496703083716,0,0,0,0.0036363260960387,0,0,0,0,0,0,0.030517243433658,0,0.79157569823043,0.00202693027679614,0,0,0,0,0,0.00182404022819927,0,0,0,0,0,0,0,0,0,0,0.129121326666311,0,0.0169842569779423,0,0.00138135855939897,0,0.00394457338549398,0.00141576538716668,0,0,0,0,0,0,0.79157569823043,"Spotx10"
