rn,Astro_0,Astro_1,Astro_2,Ext_Amy_2,Ext_Hpc_1,Ext_Hpc_3,Ext_Hpc_4,Ext_L23,Ext_L25,Ext_L5_1,Ext_L56,Ext_L6,Ext_Pir,Ext_Thal_1,Ext_Thal_2,Inh_1,Inh_3,Inh_4,Inh_6,Inh_Meis2_2,Inh_Meis2_3,Inh_Pvalb,Inh_Sst,Inh_Vip,Micro,Oligo_2,OPC_1,Unk_1,res_ss
Spotx1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.010431810367363
Spotx2,0,0,0,0,0.203571971692278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796428028307722,0.000384238333573542
Spotx3,0,0.197234040503193,0,0,0,0,0,0,0,0.197870107059938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227874702097884,0,0.377021150338986,0.0017437238478239
Spotx4,0,0,0,0,0.219370965744234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.780629034255766,0.00187783902289632
Spotx5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00466952342641992
Spotx6,0,0.346660171154715,0,0,0,0,0.170345844845366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482993983999919,0.00371769835685896
Spotx7,0,0,0,0,0,0,0,0,0,0.40254013017205,0,0.269827589324776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.327632280503175,0.000954377071585802
Spotx8,0,0,0,0,0,0,0.498957719867034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501042280132966,0.0005994581568209
Spotx9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00055438207188348
Spotx10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00164789951696386
Spotx11,0,0,0,0,0,0.230644137934348,0.131952271069877,0,0,0.293723214562646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136957194925443,0,0.206723181507687,0.0144553616558426
Spotx12,0,0,0,0,0,0,0,0,0,0,0,0,0.499643743505535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500356256494466,0.00224704955246303
Spotx13,0,0,0,0,0,0,0,0,0.218585844474854,0,0,0.399135841440216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382278314084931,4.30185166985177e-05
Spotx14,0,0,0,0.282358553052111,0,0,0.366978309539706,0,0,0,0.350663137408183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.30981357376757e-05
Spotx15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135383185531414,0,0,0,0,0,0,0,0,0.864616814468585,0,0.000349295483816524
Spotx16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.58958826500515e-05
Spotx17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0290788415155883
Spotx18,0,0,0,0,0,0,0,0,0,0,0,0.350362671393332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649637328606668,0.000619115280683766
Spotx19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00118119668203042
Spotx20,0,0,0,0,0.319495750354729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296150899653866,0,0.384353349991405,0.00476586052261986
Spotx21,0,0,0,0,0,0,0,0,0,0,0,0.531882101601045,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468117898398956,0,0,0.000864693821926187
