"","predicted.id","prediction.score.Inh_4","prediction.score.Oligo_2","prediction.score.Ext_Hpc_4","prediction.score.Ext_Unk_3","prediction.score.OPC_1","prediction.score.Inh_1","prediction.score.Ext_Pir","prediction.score.Ext_ClauPyr","prediction.score.LowQ_2","prediction.score.Ext_Amy_2","prediction.score.Micro","prediction.score.Ext_L23","prediction.score.Inh_Pvalb","prediction.score.Inh_5","prediction.score.Inh_Sst","prediction.score.Ext_Thal_1","prediction.score.Ext_L25","prediction.score.OPC_2","prediction.score.Ext_Hpc_1","prediction.score.Inh_Meis2_2","prediction.score.Astro_0","prediction.score.Inh_6","prediction.score.Unk_1","prediction.score.Ext_L5_2","prediction.score.Ext_L5_1","prediction.score.Ext_L56","prediction.score.Astro_2","prediction.score.Inh_Meis2_1","prediction.score.Ext_Hpc_2","prediction.score.Ext_L6","prediction.score.Oligo_1","prediction.score.Ext_Amy_1","prediction.score.Inh_Lamp5","prediction.score.Inh_2","prediction.score.Ext_Thal_2","prediction.score.Astro_1","prediction.score.Inh_Vip","prediction.score.Inh_Meis2_3","prediction.score.Inh_3","prediction.score.Ext_Hpc_3","prediction.score.Astro_3","prediction.score.Ext_L6B","prediction.score.Inh_Meis2_4","prediction.score.Nb_2","prediction.score.Nb_1","prediction.score.Astro_4","prediction.score.max","spot"
"Spotx1","Astro_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355931488970609,0,0,0,0,0,0.438827315334561,0,0,0,0,0,0,0,0,0.127340700557773,0,0,0,0,0.0724902928720632,0,0,0,0,0.00541020226499354,0.438827315334561,"Spotx1"
"Spotx2","Inh_Pvalb",0.0562937605190968,0,0,0,0,0.00754971441012695,0,0,0,0.000551248296243382,0,0,0.664192365988463,0,0.0177577888128581,0.0537938171044641,0,0,0,0.00350534919410296,0,0.0284307441591891,0.00109312385643238,0,0,0,0,0.00554062715710174,0,0,0,0,0,0.0267223785643514,0,0,0,0,0.0332001384843382,0,0,0,0.101368943453232,0,0,0,0.664192365988463,"Spotx2"
"Spotx3","Inh_Pvalb",0,0,0.0181421275346091,0,0,0.0127217043187683,0.0118707043511969,0,0.00680030772448094,0.000183922815961572,0,0,0.587912527195393,0.0505124824738693,0.000349836287957594,0.077283846022046,0,0,0,0.066727492800611,0,0,0.0567938706457209,0,0,0,0,0.0408144397347286,0,0,0,0,0.0351385220335935,0,0,0,0,0,0.00565014578756393,0.00631775346010969,0,0,0,0.0227803168133891,0,0,0.587912527195393,"Spotx3"
"Spotx4","Micro",0,0,0,0,0,0.000292097746279194,0.0259997105084998,0,0,0.00978987899128439,0.647760218871199,0.0485401496856668,0,0.0639147247380993,0,0.00308474656493672,0.032073741176726,0,0.00243716679499754,0.00172097102867678,0,0,0.0248786799399126,0,0.134773388298363,0,0,0,0,0.000292097746279194,0,0,0,0,0.00444242790908035,0,0,0,0,0,0,0,0,0,0,0,0.647760218871199,"Spotx4"
"Spotx5","Inh_1",0,0,0.0372841877468138,0,0,0.285845165987542,0.174814529438839,0.174663838243153,0.028410016824468,0.0138432714956711,0,0.00772116396112161,0,0,0,0,0.0263403196695195,0,0,0.0244500015173957,0,0,0.0413832568860811,0.0569885562071073,0,0,0,0.0188110970930999,0,0.0138178283046496,0,0,0,0,0,0,0,0.0136659525503611,0.0414735853457585,0.0404872287284189,0,0,0,0,0,0,0.285845165987542,"Spotx5"
"Spotx6","OPC_1",0,0,0,0,0.856166605531077,0,0.0327045209133643,0,0,0.00714359643374844,0,0.000247858880546824,0,0,0,0,0,0.00253804543478036,0,0.0127869432194791,0,0,0,0,0,0,0,0.0346036705347174,0,0,0,0,0,0,0.000998102315557539,0,0,0,0,0,0,0,0,0.0528106567367283,0,0,0.856166605531077,"Spotx6"
"Spotx7","Ext_L5_1",0,0,0,0,0,0,0,0,0,0,0,0.0187717286742993,0,0,0,0,0.00255102634739767,0,0,0,0,0,0.00277558372570573,0.00309525395087694,0.969808338399319,0,0,0,0,0.00299806890240088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969808338399319,"Spotx7"
"Spotx8","Ext_Amy_2",0,0,0.141117248349464,0,0,0.0436968953755208,0.195485414097499,0,0,0.20435130513494,0,0,0,0,0,0,0,0,0.0797227982073108,0,0.0477285584750004,0,0.00420148794306311,0,0,0,0.0115084559092432,0,0.0926776897720938,0,0,0.116218234327634,0,0,0,0,0,0,0.0448325309038032,0.0184593815044269,0,0,0,0,0,0,0.20435130513494,"Spotx8"
"Spotx9","Ext_L6B",0,0,0,0,0,0,0,0,0,0.00113980551445964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136171213669996,0,0,0,0.00258204031638889,0,0,0,0,0,0,0,0,0,0,0,0.860106940499155,0,0,0,0,0.860106940499155,"Spotx9"
"Spotx10","Ext_Unk_3",0.0098782385453689,0.0251676561474284,0,0.324292779733882,0,0.0436090009721221,0,0.176662736102174,0.0331816757385039,0,0,0,0.213167384711721,0.081885351300058,0,0,0,0,0,0,0,0,0.000319014551054208,0,0,0,0,0,0,0,0.0227378685086084,0,0,0.0268591450344528,0,0,0,0,0.0103379413655783,0,0,0,0,0.0319012072890474,0,0,0.324292779733882,"Spotx10"
"Spotx11","Astro_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00205933952663917,0,0,0,0,0.157676293436388,0,0,0,0,0,0.0910633011462031,0,0,0,0,0,0,0,0,0.654703822160666,0,0,0,0,0.0944972437301038,0,0,0,0,0,0.654703822160666,"Spotx11"
"Spotx12","Inh_6",0,0,0,0,0,0.063876056447008,0.0683730489154475,0,0,0,0,0.114448578396573,0,0,0,0,0.0265119525643947,0,0,0.0265188240146199,0,0.469340183286566,0.0239963447923417,0,0,0,0,0.175786365023378,0,0,0,0,0,0,0,0,0,0.00409709275546967,0.0270515538042018,0,0,0,0,0,0,0,0.469340183286566,"Spotx12"
