rn,Astro_0,Astro_1,Astro_2,Ext_Amy_2,Ext_Hpc_1,Ext_Hpc_3,Ext_Hpc_4,Ext_L23,Ext_L25,Ext_L5_1,Ext_L56,Ext_L6,Ext_Pir,Ext_Thal_1,Ext_Thal_2,Inh_1,Inh_3,Inh_4,Inh_6,Inh_Meis2_2,Inh_Meis2_3,Inh_Pvalb,Inh_Sst,Inh_Vip,Micro,Oligo_2,OPC_1,Unk_1,res_ss
Spotx1,0,0,0.197316947962531,0,0,0,0,0,0,0.178745296974801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.623937755062668,0.00415241211555567
Spotx2,0,0,0,0,0.231364833474671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768635166525329,6.88996413788957e-06
Spotx3,0,0.270566571181042,0,0,0,0,0,0,0,0.232648910678028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296381862244702,0,0.200402655896227,0.000139840268628397
Spotx4,0,0,0,0,0.393280125363257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606719874636743,0.00119920413630869
Spotx5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00153800565201522
Spotx6,0,0.393450467230427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606549532769573,2.40638927797897e-06
Spotx7,0,0,0,0,0,0,0,0,0,0.300511353505132,0,0.225929195681925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473559450812943,0.000135389319590154
Spotx8,0,0,0,0,0,0,0.424389080820471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57561091917953,0.000521132009653744
Spotx9,0,0,0,0,0.200151600087949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799848399912051,0.00523359905670872
Spotx10,0,0,0,0,0,0,0,0,0,0,0,0.167717559841767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.832282440158233,0.00194771351946973
Spotx11,0,0,0,0,0,0.264081114713393,0,0,0,0.207599540333458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52831934495315,0.000651737367613729
Spotx12,0,0,0,0,0,0,0,0,0,0,0,0,0.455165247138752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544834752861248,0.0022552471524443
Spotx13,0,0,0,0,0,0,0,0.143625300374374,0.340902034267238,0,0,0.515472665358388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2729663668749e-05
Spotx14,0,0,0,0.196874089325615,0,0,0.173184612330979,0,0,0,0.157366650668736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47257464767467,1.43900015010686e-32
Spotx15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.749049588136913,0.250950411863087,6.64384288007731e-05
Spotx16,0,0,0,0,0.175953437952574,0,0,0,0,0,0,0.171788476534036,0,0,0,0,0.218957973688818,0,0,0,0.167117234482334,0,0,0,0.266182877342237,0,0,0,0.00110676436524829
Spotx17,0,0,0,0.226067624247685,0,0,0.142256391510923,0,0,0.301368437722164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330307546519228,0.0103335833379397
Spotx18,0,0,0,0,0,0,0,0,0,0,0,0.442575908168737,0.138228407714795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419195684116468,0.00115093354075392
Spotx19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000764615951576966
Spotx20,0,0,0,0,0.303041671993251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273547009286333,0,0.423411318720416,0.00337455501708435
