"","predicted.id","prediction.score.Inh_4","prediction.score.Oligo_2","prediction.score.Ext_Hpc_4","prediction.score.Ext_Unk_3","prediction.score.OPC_1","prediction.score.Inh_1","prediction.score.Ext_Pir","prediction.score.Ext_ClauPyr","prediction.score.LowQ_2","prediction.score.Ext_Amy_2","prediction.score.Micro","prediction.score.Ext_L23","prediction.score.Inh_Pvalb","prediction.score.Inh_5","prediction.score.Inh_Sst","prediction.score.Ext_Thal_1","prediction.score.Ext_L25","prediction.score.OPC_2","prediction.score.Ext_Hpc_1","prediction.score.Inh_Meis2_2","prediction.score.Astro_0","prediction.score.Inh_6","prediction.score.Unk_1","prediction.score.Ext_L5_2","prediction.score.Ext_L5_1","prediction.score.Ext_L56","prediction.score.Astro_2","prediction.score.Inh_Meis2_1","prediction.score.Ext_Hpc_2","prediction.score.Ext_L6","prediction.score.Oligo_1","prediction.score.Ext_Amy_1","prediction.score.Inh_Lamp5","prediction.score.Inh_2","prediction.score.Ext_Thal_2","prediction.score.Astro_1","prediction.score.Inh_Vip","prediction.score.Inh_Meis2_3","prediction.score.Inh_3","prediction.score.Ext_Hpc_3","prediction.score.Astro_3","prediction.score.Ext_L6B","prediction.score.Inh_Meis2_4","prediction.score.Nb_2","prediction.score.Nb_1","prediction.score.Astro_4","prediction.score.max","spot"
"Spotx1","Astro_0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522244044288362,0,0,0,0,0,0.446801570436078,0,0,0,0,0,0,0,0,0.0171825870188697,0,0,0,0,0.0137717982566904,0,0,0,0,0,0.522244044288362,"Spotx1"
"Spotx2","Inh_Pvalb",0.0592985748758639,0,0,0,0,0.0120510365563343,0.000833943340055205,0,0.0513863318025699,0.000329233585115832,0,0,0.790606359461528,0.0251618000118678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0364344116632967,0,0,0.00453600472845374,0,0.0193623039749143,0,0,0,0,0,0,0,0.790606359461528,"Spotx2"
"Spotx3","Inh_Pvalb",0.0550982785489239,0,0.00689214578221061,0,0,0.174595572591079,0,0.0203764030479802,0,0,0,0,0.369553036191446,0.07258616919507,0,0.027755594943035,0,0,0,0,0,0,0.0172033339982777,0,0,0,0,0.0145144677969572,0,0,0,0,0.0268526029577592,0.0134047093324103,0.0453185503253104,0,0.0138731867037739,0.0966210774955095,0,0.0195292952137049,0,0,0.0258255758765519,0,0,0,0.369553036191446,"Spotx3"
"Spotx4","Ext_L5_1",0.0178425989955653,0,0.00839752992248712,0,0,0.000400986471936826,0.0249016157601633,0.021785070439732,0,0.00745693220933338,0,0.249884944201104,0,0.0302305929954248,0,0,0.176320871525461,0,0,0,0,0,0.142096706427394,0,0.291154825041969,0.00704541375020652,0,0,0,0.00879998935886988,0,0,0,0,0,0,0,0,0.00947543829205969,0.00420648460829283,0,0,0,0,0,0,0.291154825041969,"Spotx4"
"Spotx5","Inh_Meis2_3",0,0,0.068408659754221,0,0,0.0921284157763228,0.0671622671872117,0,0,0,0,0,0.158134997578256,0,0,0,0,0,0.00948475336333445,0.00818833043625567,0,0,0.00554073699960479,0,0.0162690776665455,0,0,0,0,0,0,0,0.0653606388437584,0,0,0,0,0.362516022734011,0,0.146806099660479,0,0,0,0,0,0,0.362516022734011,"Spotx5"
"Spotx6","OPC_1",0.0197428496558991,0,0.000122101916258803,0,0.749975363168427,0.00664810322884282,0.0148111312643404,0.0783439221008336,0,0.0126199174410127,0,0,0,0,0.00301516896519695,0,0,0,0,0.00305931130676194,0,0,0.00565734642958395,0,0,0,0,0,0,0,0,0.0293569106323821,0,0.00600828459243518,0,0,0.00474119695555866,0,0.00133167960180177,0,0,0,0,0.0497762988390525,0.0147904139016123,0,0.749975363168427,"Spotx6"
"Spotx7","Ext_L5_1",0,0,0,0,0,0,0,0,0,0.000478915199476334,0,0.119000074901143,0,0,0,0,0.0211179440668236,0,0,0,0,0,0,0,0.853809524331578,0,0,0,0,0.00559354150097993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.853809524331578,"Spotx7"
"Spotx8","Nb_2",0.0138668556971568,0,0.103741572730694,0,0,0.0996686709456159,0.16335430579947,0,0,0.117494310504249,0,0,0,0,0,0,0,0,0,0,0,0,0.0224438740842209,0,0,0,0,0,0.00294610942210684,0,0,0.0121920656565081,0,0,0,0,0,0.168843028296202,0,0.0934534109342261,0,0,0,0.20199579592955,0,0,0.20199579592955,"Spotx8"
"Spotx9","Ext_L6B",0,0,0,0.00228693637603072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00857988688521201,0,0,0.325240376020146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663892800718612,0,0,0,0,0.663892800718612,"Spotx9"
"Spotx10","Inh_4",0.361638938478615,0,0,0.0218370346727454,0,0.0318914487036488,0,0,0.135342215430132,0,0,0,0.0226668565104867,0,0.0250838337049718,0,0,0,0.054298247665683,0,0,0,0.0182465756883349,0,0,0,0,0,0,0,0,0,0.0250420062265065,0.00376005129997088,0.00487347753466607,0,0.0131737504116435,0,0.185868691583993,0,0,0,0,0.0962768720886032,0,0,0.361638938478615,"Spotx10"
