"","predicted.id","prediction.score.Inh_4","prediction.score.Oligo_2","prediction.score.Ext_Hpc_4","prediction.score.Ext_Unk_3","prediction.score.OPC_1","prediction.score.Inh_1","prediction.score.Ext_Pir","prediction.score.Ext_ClauPyr","prediction.score.LowQ_2","prediction.score.Ext_Amy_2","prediction.score.Micro","prediction.score.Ext_L23","prediction.score.Inh_Pvalb","prediction.score.Inh_5","prediction.score.Inh_Sst","prediction.score.Ext_Thal_1","prediction.score.Ext_L25","prediction.score.OPC_2","prediction.score.Ext_Hpc_1","prediction.score.Inh_Meis2_2","prediction.score.Astro_0","prediction.score.Inh_6","prediction.score.Unk_1","prediction.score.Ext_L5_2","prediction.score.Ext_L5_1","prediction.score.Ext_L56","prediction.score.Astro_2","prediction.score.Inh_Meis2_1","prediction.score.Ext_Hpc_2","prediction.score.Ext_L6","prediction.score.Oligo_1","prediction.score.Ext_Amy_1","prediction.score.Inh_Lamp5","prediction.score.Inh_2","prediction.score.Ext_Thal_2","prediction.score.Astro_1","prediction.score.Inh_Vip","prediction.score.Inh_Meis2_3","prediction.score.Inh_3","prediction.score.Ext_Hpc_3","prediction.score.Astro_3","prediction.score.Ext_L6B","prediction.score.Inh_Meis2_4","prediction.score.Nb_2","prediction.score.Nb_1","prediction.score.Astro_4","prediction.score.max","spot"
"Spotx1","Astro_0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244526029666556,0.515051338261912,0,0.00310401839401628,0,0,0,0.352992257701007,0,0,0,0,0,0,0,0,0.0428297595442688,0,0.0456695538650638,0,0,0,0,0,0,0,0.0159004692670768,0.515051338261912,"Spotx1"
"Spotx2","Inh_Sst",0.00259776221413037,0,0,0,0,0,0,0,0,0,0,0,0.407352882783294,0,0.498971257423757,0,0,0,0,0,0,0,0.00213876844424211,0,0,0,0,0,0,0,0,0,0,0.00517604656204677,0,0,0.00739081448919569,0.063968969467998,0.0118675642539221,0.000535934361414699,0,0,0,0,0,0,0.498971257423757,"Spotx2"
"Spotx3","Inh_Sst",0.0840531143094231,0.00121506998262139,0,0,0,0.0229096508935573,0,0,0,0,0,0,0.159983792018854,0,0.544888999994908,0,0,0,0,0,0,0,0.0168641285139065,0,0.0566652853519511,0,0,0,0,0.00258893573114825,0,0,0,0.0133109166293183,0,0,0,0.0975201065743114,0,0,0,0,0,0,0,0,0.544888999994908,"Spotx3"
"Spotx4","Micro",0,0,0,0,0,0.0199368813769902,0,0,0,0,0.974917511703398,0,0,0,0,0,0.00514560691961121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974917511703398,"Spotx4"
"Spotx5","Ext_Pir",0,0,0,0,0,0.00199619783041634,0.490473379707211,0,0,0.0281714455797134,0,0,0,0,0.244899483688405,0,0,0,0,0,0,0,0.0224483146959445,0,0,0.0459492447664449,0,0,0,0,0,0.0813999487023811,0,0.00901299788965645,0,0,0.0756489871398273,0,0,0,0,0,0,0,0,0,0.490473379707211,"Spotx5"
"Spotx6","OPC_1",0,0,0,0,0.974776107660185,0,0,0,0,0,0,0.0132056562055194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120182361342951,0,0,0,0,0,0,0,0.974776107660185,"Spotx6"
"Spotx7","Ext_L5_1",0,0.00283423741918621,0,0,0,0,0.00837113179189017,0,0,0,0,0.0052720377079645,0,0,0,0,0,0,0,0,0,0,0,0,0.914975914593489,0,0,0,0,0.0685466784874709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914975914593489,"Spotx7"
"Spotx8","Inh_4",0.342977573650786,0.0326656013601116,0,0,0,0.0801597948398384,0.0740105890017401,0,0,0,0,0.00515063944047608,0,0,0,0,0,0,0,0,0.0103935822809128,0,0.0332988844946931,0,0,0,0,0,0,0.0191198121486797,0,0,0,0.112704416711086,0,0,0,0.0305497588642617,0.258969347207415,0,0,0,0,0,0,0,0.342977573650786,"Spotx8"
"Spotx9","Ext_L6B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235047114444282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.764952885555718,0,0,0,0,0.764952885555718,"Spotx9"
"Spotx10","Inh_Sst",0.0481224535204963,0,0,0.0176118836762384,0,0.0326882949943629,0,0,0,0,0,0,0,0,0.529895913274355,0.0128292802380965,0,0,0,0,0.019373342542051,0,0.00229562630229235,0,0,0,0,0,0,0,0,0,0,0.00747954401755527,0.206687805238509,0,0.116728301214539,0,0,0,0,0,0,0,0.00628755498150415,0,0.529895913274355,"Spotx10"
"Spotx11","Astro_1",0,0,0,0.00895920975305181,0,0,0,0,0,0,0,0,0.0284094564656644,0,0,0.00292659121241361,0,0,0,0,0.0673368466026609,0,0,0,0,0,0.0421312097155606,0,0,0,0,0,0,0,0,0.748023434546972,0,0,0,0,0.102213251703677,0,0,0,0,0,0.748023434546972,"Spotx11"
"Spotx12","Inh_4",0.188814305005009,0,0,0,0,0.102873586956053,0.0294830333940021,0,0,0,0,0.00692680438856512,0,0,0,0,0.0213752437412074,0,0,0.0359656995555779,0.160495211264905,0.0665737164118717,0.0298975984229642,0,0,0,0.160397175932739,0,0,0,0,0,0,0,0,0,0,0.0507442362009922,0.0832018933073295,0.0127190492576869,0,0,0,0,0,0.0505324461610974,0.188814305005009,"Spotx12"
"Spotx13","Astro_0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0905397451749572,0.483298184438057,0,0,0,0,0,0.283699536242977,0,0,0,0,0,0,0,0.0111458419318993,0,0,0,0,0,0,0,0,0,0,0.131316692212109,0.483298184438057,"Spotx13"
"Spotx14","Ext_Thal_1",0,0.00316320400472261,0,0.0895367585017637,0,0,0,0,0,0,0,0,0,0,0.0153197111749233,0.871882766049745,0,0,0,0,0,0,0.0200975602688451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.871882766049745,"Spotx14"
"Spotx15","Ext_Unk_3",0,0.0574996548757077,0,0.540385148017357,0,0.00972826469521444,0,0,0,0,0,0,0,0,0,0.0568848102267651,0,0,0,0,0.148142318420786,0,0.0701688682463951,0,0,0,0.00286221280835477,0.0579991312930021,0,0,0,0,0,0,0.015973484647492,0,0,0,0,0,0,0,0,0,0,0.0403561067689265,0.540385148017357,"Spotx15"
"Spotx16","Inh_Meis2_1",0.0117366066698097,0.0146579176935515,0,0.065384132238205,0,0.0363020567868558,0,0,0,0,0.210162503500015,0,0.0340705744744369,0,0,0,0,0,0,0.114931292855976,0,0,0.0260998091519154,0,0,0,0,0.432971137968152,0,0,0,0,0,0.00795769198175327,0,0,0,0.00949630308706631,0.0362299735922626,0,0,0,0,0,0,0,0.432971137968152,"Spotx16"
