"","predicted.id","prediction.score.Inh_4","prediction.score.Oligo_2","prediction.score.Ext_Hpc_4","prediction.score.Ext_Unk_3","prediction.score.OPC_1","prediction.score.Inh_1","prediction.score.Ext_Pir","prediction.score.Ext_ClauPyr","prediction.score.LowQ_2","prediction.score.Ext_Amy_2","prediction.score.Micro","prediction.score.Ext_L23","prediction.score.Inh_Pvalb","prediction.score.Inh_5","prediction.score.Inh_Sst","prediction.score.Ext_Thal_1","prediction.score.Ext_L25","prediction.score.OPC_2","prediction.score.Ext_Hpc_1","prediction.score.Inh_Meis2_2","prediction.score.Astro_0","prediction.score.Inh_6","prediction.score.Unk_1","prediction.score.Ext_L5_2","prediction.score.Ext_L5_1","prediction.score.Ext_L56","prediction.score.Astro_2","prediction.score.Inh_Meis2_1","prediction.score.Ext_Hpc_2","prediction.score.Ext_L6","prediction.score.Oligo_1","prediction.score.Ext_Amy_1","prediction.score.Inh_Lamp5","prediction.score.Inh_2","prediction.score.Ext_Thal_2","prediction.score.Astro_1","prediction.score.Inh_Vip","prediction.score.Inh_Meis2_3","prediction.score.Inh_3","prediction.score.Ext_Hpc_3","prediction.score.Astro_3","prediction.score.Ext_L6B","prediction.score.Inh_Meis2_4","prediction.score.Nb_2","prediction.score.Nb_1","prediction.score.Astro_4","prediction.score.max","spot"
"Spotx1","Astro_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489080025675788,0,0,0,0,0,0.489797529442626,0,0,0,0,0,0,0,0,0.0211224448815864,0,0,0,0,0,0,0,0,0,0,0.489797529442626,"Spotx1"
"Spotx2","Inh_Pvalb",0,0,0,0,0,0.0885952990513522,0,0,0,0,0,0,0.842931578668339,0,0.0332400069741333,0,0,0,0,0,0,0,0.0130310302172911,0,0,0,0,0,0,0,0,0,0,0.00665632462541934,0,0,0.00472376800202146,0,0.0108219924614435,0,0,0,0,0,0,0,0.842931578668339,"Spotx2"
"Spotx3","Inh_1",0.0204877759217873,0,0,0,0,0.318147382744126,0.0247016526695922,0,0,0.00261947681622816,0,0,0.166247747369696,0,0.202558520129279,0,0,0,0,0,0,0,0.0452542010019138,0.0218717348138459,0.0849147577538665,0,0,0,0,0,0,0,0.0563335171754185,0,0,0,0,0,0.0387728076778322,0.0180904259264137,0,0,0,0,0,0,0.318147382744126,"Spotx3"
"Spotx4","Micro",0.0125511489418884,0,0,0,0,0.0412761064740712,0,0,0,0,0.655049970908975,0.0149670266831263,0,0.0604310322403226,0,0.0216248223411738,0.0185329017670888,0,0.0273438917482694,0,0,0,0.0292206885030798,0,0.0527560800790203,0,0,0,0.0415018053115755,0.00677437334465384,0,0,0,0,0.00936334950308919,0,0,0,0.00860680215366612,0,0,0,0,0,0,0,0.655049970908975,"Spotx4"
"Spotx5","Inh_Meis2_3",0.00935869455450897,0,0.00839021404508065,0,0,0.0526200148970069,0.233228937665547,0,0,0.0245108320375426,0,0,0.0333616460343609,0,0.140444884241429,0,0,0,0,0.0263337176042506,0,0,0.00372644437808027,0,0,0,0,0.0623129658294985,0,0,0,0,0,0,0,0,0,0.342209975721997,0.0206354156354905,0.0428662573552077,0,0,0,0,0,0,0.342209975721997,"Spotx5"
"Spotx6","OPC_1",0,0,0,0,0.967644182804468,0,0,0,0,0,0,0,0,0,0,0.00109675094898197,0,0.03125906624655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.967644182804468,"Spotx6"
"Spotx7","Ext_L5_1",0,0,0,0,0,0,0,0,0,0,0,0.0115118116531535,0,0,0,0,0.0248076019574348,0,0,0,0,0,0.0415164284910001,0.00636490239534138,0.91579925550307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91579925550307,"Spotx7"
"Spotx8","Ext_Pir",0.00904368525532725,0,0.037284240869693,0,0,0.148895361811563,0.268792813655434,0,0,0.171722342886633,0,0,0,0,0,0,0,0,0,0,0,0,0.0277384570082753,0,0,0,0,0,0.101990785344535,0,0,0.0542419304007151,0,0,0,0,0,0,0.0381063536283153,0.142184029139508,0,0,0,0,0,0,0.268792813655434,"Spotx8"
"Spotx9","Ext_L6B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.496817367088448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503182632911552,0,0,0,0,0.503182632911552,"Spotx9"
"Spotx10","Ext_Unk_3",0.113434981177136,0,0,0.311072348759958,0,0.0189085856849916,0,0,0,0,0,0,0.0344375870387194,0,0.142392615663915,0.0330689078796381,0,0,0,0,0,0.0164523002709395,0,0,0,0,0,0,0,0,0,0,0,0.0473875095971155,0.194636541462961,0,0,0,0.088208622464625,0,0,0,0,0,0,0,0.311072348759958,"Spotx10"
"Spotx11","Astro_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357658999038874,0,0,0,0,0,0.115264721419004,0,0,0,0,0,0,0,0,0.434105973694705,0,0,0,0,0.0929703058474161,0,0,0,0,0,0.434105973694705,"Spotx11"
"Spotx12","Ext_Pir",0.00730230314880979,0,0,0,0,0.150588900843577,0.295025568854068,0,0,0.029277845939161,0,0.0557900194886055,0,0,0,0,0,0,0,0,0,0.280791543727875,0.0567856775292771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0550350477922991,0.0434726891908364,0.0156350244152029,0,0,0,0,0.010295379070288,0,0.295025568854068,"Spotx12"
"Spotx13","Astro_2",0.00722068476342185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0567180160794973,0.425674057968482,0,0,0,0,0,0.467018920250805,0,0,0,0,0,0,0,0,0.0218701821727844,0,0.0214981387650102,0,0,0,0,0,0,0,0,0.467018920250805,"Spotx13"
"Spotx14","Ext_Thal_1",0,0,0,0.373239063650985,0,0,0,0,0,0,0,0,0,0,0,0.430850360595258,0,0,0,0,0,0,0.0120988661224373,0,0,0,0,0,0,0,0,0,0,0,0.183811709631319,0,0,0,0,0,0,0,0,0,0,0,0.430850360595258,"Spotx14"
"Spotx15","Ext_Thal_2",0.0114779912973289,0,0,0.165577127042658,0,0,0,0,0,0,0,0,0,0,0,0.255498323148807,0,0,0,0,0,0,0.0183313298773995,0,0,0,0,0,0,0,0,0,0,0,0.549115228633807,0,0,0,0,0,0,0,0,0,0,0,0.549115228633807,"Spotx15"
"Spotx16","Inh_Meis2_1",0.0321662823870301,0,0,0.114403984896692,0,0.0869999683420579,0.0212653199940025,0,0,0,0,0,0,0,0,0.0927134181549541,0,0,0.0398578079329737,0,0,0,0.0527442001373233,0,0,0,0,0.267121058894852,0,0,0,0,0,0.0431285052843126,0.103679103611612,0,0,0.0669450066491828,0.0789753437150058,0,0,0,0,0,0,0,0.267121058894852,"Spotx16"
"Spotx17","Ext_Thal_1",0.00253482723104622,0,0,0.352855572371193,0,0,0,0,0,0,0,0,0,0,0,0.375202372547263,0,0,0,0,0,0,0.0736912242035839,0,0,0,0,0,0,0,0,0,0,0,0.183301237746137,0,0,0,0.0124147659007778,0,0,0,0,0,0,0,0.375202372547263,"Spotx17"
"Spotx18","Astro_0",0.0141741240213962,0.00565358607058055,0,0,0,0.0314637983347394,0.00156955504442662,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36120727178333,0.00905011411060306,0,0.0238165435814018,0,0,0.328406006322394,0,0,0.0290663971206409,0,0,0,0,0.0316723109943191,0.105543816067958,0,0,0.0107647851853862,0.0385427543648622,0,0,0,0.00906893699796173,0,0,0.36120727178333,"Spotx18"
"Spotx19","Inh_Meis2_3",0,0,0,0,0,0.0100708261972428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0595897970597236,0,0,0,0,0,0,0,0.0484696047305849,0,0,0,0,0,0.0131384003843722,0,0,0,0.868731371628076,0,0,0,0,0,0,0,0,0.868731371628076,"Spotx19"
"Spotx20","Inh_5",0.0612122426053833,0,0,0.0603691179191623,0,0.114093875971486,0,0,0,0,0,0,0.015296891381956,0.439457185110979,0.119830540868665,0,0,0,0,0,0,0.00661178606918855,0.0355128903982347,0,0,0,0,0,0,0,0,0,0,0.0374105560773346,0,0,0,0,0.110204913597611,0,0,0,0,0,0,0,0.439457185110979,"Spotx20"
"Spotx21","Inh_Pvalb",0.0241937559162918,0,0,0,0.0249357074218334,0.114257448877144,0.0132417475510209,0,0,0,0,0,0.338548478622021,0,0.173394363774148,0,0,0,0,0,0,0,0.020639383384974,0,0,0,0,0,0,0,0,0.0141152313177052,0.0114055563372187,0.0101405208079804,0,0,0.132241364655216,0,0.0437076340443054,0,0,0,0,0.0791788072901406,0,0,0.338548478622021,"Spotx21"
"Spotx22","Inh_Meis2_4",0.0181701520399805,0,0.018967329424252,0.0121882052654554,0,0.0125543084582378,0.0340789781890729,0,0,0.0166265194213813,0,0,0.00855269537707808,0,0.0146890816302937,0,0,0,0.0631442697448659,0,0,0.00344584415832392,0.0170036521790934,0,0,0,0,0,0,0,0,0.0227642046708583,0,0.00647374840260483,0,0,0,0,0,0.0176919966002548,0,0,0.733649014438247,0,0,0,0.733649014438247,"Spotx22"
