,top-1,top-2,top-3,top-4,top-5,top-6,top-7,top-8,top-9,top-10
mean_cell_type_factorsfact_0,VSMC: 0.0,B_plasma: 0.0,Endo: 0.0,DC_pDC: 0.0,DC_cDC2: 0.0,DC_cDC1: 0.0,DC_CCR7+: 0.0,B_preGC: 0.0,B_naive: 0.0,T_Treg: 0.0
mean_cell_type_factorsfact_1,B_mem: 0.87,Macrophages_M1: 0.3,T_CD4+: 0.27,DC_cDC1: 0.25,VSMC: 0.25,Mast: 0.23,DC_cDC2: 0.22,B_preGC: 0.21,Monocytes: 0.19,FDC: 0.19
mean_cell_type_factorsfact_2,VSMC: 0.0,B_plasma: 0.0,Endo: 0.0,DC_pDC: 0.0,DC_cDC2: 0.0,DC_cDC1: 0.0,DC_CCR7+: 0.0,B_preGC: 0.0,B_naive: 0.0,T_Treg: 0.0
mean_cell_type_factorsfact_3,T_CD4+_naive: 0.94,T_CD8+_naive: 0.46,T_TfR: 0.38,DC_CCR7+: 0.38,T_Treg: 0.26,T_CD8+_cytotoxic: 0.2,Macrophages_M2: 0.18,DC_cDC1: 0.17,NKT: 0.17,T_CD4+_TfH_GC: 0.15
mean_cell_type_factorsfact_4,VSMC: 0.0,B_plasma: 0.0,Endo: 0.0,DC_pDC: 0.0,DC_cDC2: 0.0,DC_cDC1: 0.0,DC_CCR7+: 0.0,B_preGC: 0.0,B_naive: 0.0,T_Treg: 0.0
mean_cell_type_factorsfact_5,VSMC: 0.0,B_plasma: 0.0,Endo: 0.0,DC_pDC: 0.0,DC_cDC2: 0.0,DC_cDC1: 0.0,DC_CCR7+: 0.0,B_preGC: 0.0,B_naive: 0.0,T_Treg: 0.0
mean_cell_type_factorsfact_6,B_plasma: 0.85,Mast: 0.68,Macrophages_M2: 0.52,Monocytes: 0.41,NKT: 0.38,NK: 0.32,T_CD8+_CD161+: 0.31,DC_pDC: 0.3,Endo: 0.27,T_CD8+_naive: 0.26
mean_cell_type_factorsfact_7,B_activated: 0.78,DC_pDC: 0.42,DC_cDC2: 0.39,ILC: 0.38,Endo: 0.34,Monocytes: 0.29,B_GC_prePB: 0.25,NK: 0.25,B_GC_LZ: 0.25,T_CD8+_cytotoxic: 0.25
mean_cell_type_factorsfact_8,B_Cycling: 0.79,B_GC_DZ: 0.59,B_GC_LZ: 0.48,FDC: 0.44,B_GC_prePB: 0.41,T_CD4+_TfH: 0.34,Macrophages_M1: 0.2,T_CD4+_TfH_GC: 0.16,DC_cDC1: 0.16,T_CD8+_CD161+: 0.11
mean_cell_type_factorsfact_9,B_naive: 0.77,T_CD4+_TfH_GC: 0.36,B_GC_LZ: 0.23,FDC: 0.18,T_CD8+_cytotoxic: 0.17,B_GC_prePB: 0.13,B_activated: 0.12,NKT: 0.1,T_Treg: 0.081,B_GC_DZ: 0.079
mean_cell_type_factorsfact_10,B_IFN: 1.0,B_preGC: 0.47,T_TIM3+: 0.46,T_CD4+_TfH: 0.31,T_TfR: 0.26,DC_CCR7+: 0.25,T_CD8+_naive: 0.22,DC_cDC2: 0.2,T_CD8+_CD161+: 0.19,NK: 0.17
