,top-1,top-2,top-3,top-4,top-5,top-6,top-7,top-8,top-9,top-10
mean_cell_type_factorsfact_0,VSMC: 0.0,B_plasma: 0.0,Endo: 0.0,DC_pDC: 0.0,DC_cDC2: 0.0,DC_cDC1: 0.0,DC_CCR7+: 0.0,B_preGC: 0.0,B_naive: 0.0,T_Treg: 0.0
mean_cell_type_factorsfact_1,T_CD4+_naive: 0.96,T_CD8+_naive: 0.45,T_TfR: 0.43,DC_CCR7+: 0.41,T_Treg: 0.28,T_CD8+_cytotoxic: 0.23,Macrophages_M2: 0.2,T_CD4+_TfH_GC: 0.2,DC_cDC1: 0.19,NKT: 0.19
mean_cell_type_factorsfact_2,VSMC: 0.0,B_plasma: 0.0,Endo: 0.0,DC_pDC: 0.0,DC_cDC2: 0.0,DC_cDC1: 0.0,DC_CCR7+: 0.0,B_preGC: 0.0,B_naive: 0.0,T_Treg: 0.0
mean_cell_type_factorsfact_3,VSMC: 0.0,B_plasma: 0.0,Endo: 0.0,DC_pDC: 0.0,DC_cDC2: 0.0,DC_cDC1: 0.0,DC_CCR7+: 0.0,B_preGC: 0.0,B_naive: 0.0,T_Treg: 0.0
mean_cell_type_factorsfact_4,VSMC: 0.0,B_plasma: 0.0,Endo: 0.0,DC_pDC: 0.0,DC_cDC2: 0.0,DC_cDC1: 0.0,DC_CCR7+: 0.0,B_preGC: 0.0,B_naive: 0.0,T_Treg: 0.0
mean_cell_type_factorsfact_5,VSMC: 0.0,B_plasma: 0.0,Endo: 0.0,DC_pDC: 0.0,DC_cDC2: 0.0,DC_cDC1: 0.0,DC_CCR7+: 0.0,B_preGC: 0.0,B_naive: 0.0,T_Treg: 0.0
mean_cell_type_factorsfact_6,B_plasma: 0.84,Macrophages_M2: 0.56,Mast: 0.5,Monocytes: 0.46,NKT: 0.42,B_naive: 0.38,NK: 0.35,DC_pDC: 0.33,T_CD8+_CD161+: 0.33,T_CD8+_cytotoxic: 0.31
mean_cell_type_factorsfact_7,VSMC: 0.0,B_plasma: 0.0,Endo: 0.0,DC_pDC: 0.0,DC_cDC2: 0.0,DC_cDC1: 0.0,DC_CCR7+: 0.0,B_preGC: 0.0,B_naive: 0.0,T_Treg: 0.0
mean_cell_type_factorsfact_8,VSMC: 0.0,B_plasma: 0.0,Endo: 0.0,DC_pDC: 0.0,DC_cDC2: 0.0,DC_cDC1: 0.0,DC_CCR7+: 0.0,B_preGC: 0.0,B_naive: 0.0,T_Treg: 0.0
mean_cell_type_factorsfact_9,VSMC: 0.0,B_plasma: 0.0,Endo: 0.0,DC_pDC: 0.0,DC_cDC2: 0.0,DC_cDC1: 0.0,DC_CCR7+: 0.0,B_preGC: 0.0,B_naive: 0.0,T_Treg: 0.0
mean_cell_type_factorsfact_10,B_IFN: 1.0,B_preGC: 0.61,T_TIM3+: 0.56,DC_cDC2: 0.38,T_CD4+_TfH: 0.38,DC_CCR7+: 0.33,T_TfR: 0.31,T_CD8+_naive: 0.3,T_CD8+_CD161+: 0.28,T_CD4+: 0.27
mean_cell_type_factorsfact_11,VSMC: 0.0,B_plasma: 0.0,Endo: 0.0,DC_pDC: 0.0,DC_cDC2: 0.0,DC_cDC1: 0.0,DC_CCR7+: 0.0,B_preGC: 0.0,B_naive: 0.0,T_Treg: 0.0
mean_cell_type_factorsfact_12,B_mem: 0.95,B_activated: 0.76,B_naive: 0.59,Mast: 0.5,Macrophages_M1: 0.42,T_CD4+_TfH_GC: 0.42,DC_cDC2: 0.41,FDC: 0.38,Endo: 0.36,VSMC: 0.34
mean_cell_type_factorsfact_13,B_Cycling: 0.79,B_GC_DZ: 0.65,B_GC_LZ: 0.63,FDC: 0.54,B_GC_prePB: 0.49,T_CD4+_TfH: 0.38,T_CD4+_TfH_GC: 0.25,Macrophages_M1: 0.25,DC_cDC1: 0.16,ILC: 0.14
mean_cell_type_factorsfact_14,VSMC: 0.0,B_plasma: 0.0,Endo: 0.0,DC_pDC: 0.0,DC_cDC2: 0.0,DC_cDC1: 0.0,DC_CCR7+: 0.0,B_preGC: 0.0,B_naive: 0.0,T_Treg: 0.0
