	Astro_0	Astro_1	Astro_2	Astro_3	Astro_4	Ext_Amy_1	Ext_Amy_2	Ext_ClauPyr	Ext_Hpc_1	Ext_Hpc_2	Ext_Hpc_3	Ext_Hpc_4	Ext_L23	Ext_L25	Ext_L56	Ext_L5_1	Ext_L5_2	Ext_L6	Ext_L6B	Ext_Pir	Ext_Thal_1	Ext_Thal_2	Ext_Unk_3	Inh_1	Inh_2	Inh_3	Inh_4	Inh_5	Inh_6	Inh_Lamp5	Inh_Meis2_1	Inh_Meis2_2	Inh_Meis2_3	Inh_Meis2_4	Inh_Pvalb	Inh_Sst	Inh_Vip	LowQ_2	Micro	Nb_1	Nb_2	OPC_1	OPC_2	Oligo_1	Oligo_2	Unk_1
Spotx1	0.062419865	3.5426673e-10	0.15506934	0.05855452	3.5458786e-10	3.544499e-10	3.550846e-10	0.001907197	3.5419445e-10	3.5424916e-10	3.5425188e-10	3.5461897e-10	3.5462774e-10	3.5467645e-10	3.544607e-10	3.5487271e-10	3.5439787e-10	3.5444045e-10	0.00774105	3.5463044e-10	3.546731e-10	0.01894877	0.14506373	0.17521174	3.5554548e-10	3.5431946e-10	0.040962644	3.5495054e-10	3.5437486e-10	0.0474552	0.014927602	0.014624478	0.053237494	0.01588941	0.04153194	3.5454864e-10	3.5528583e-10	0.035878055	0.0052931914	3.5433567e-10	0.09940285	3.5442826e-10	3.5429712e-10	0.005880916	3.5543765e-10	3.553997e-10
Spotx2	1.9175189e-10	1.916283e-10	1.9159468e-10	1.9155083e-10	1.9168458e-10	0.033972103	1.9159029e-10	1.9192933e-10	1.9171238e-10	1.9180783e-10	1.918353e-10	0.010663008	0.0034038746	0.014037252	1.9154242e-10	1.9180894e-10	1.9181919e-10	1.9175664e-10	1.9173908e-10	1.9194471e-10	0.0054809763	1.92037e-10	0.19728549	1.9205934e-10	1.9181699e-10	0.15799654	1.9222353e-10	1.921645e-10	0.01939772	1.9175628e-10	1.9184626e-10	0.060854655	0.022170741	0.036819268	0.32719365	0.02406831	0.033058543	1.9188397e-10	0.0033465908	1.9175736e-10	0.026757743	1.9159395e-10	0.00058517954	0.012463538	1.9179285e-10	0.010444781
Spotx3	2.7173372e-10	0.0009594733	2.7150368e-10	2.7216374e-10	0.014291666	2.717845e-10	2.7166533e-10	0.014099004	2.7186903e-10	2.719266e-10	2.7160316e-10	2.7174255e-10	0.04801756	0.11082333	0.026384296	2.7253463e-10	2.7193803e-10	0.09092911	2.7221878e-10	2.7203761e-10	2.7189187e-10	2.7218813e-10	0.050828226	2.7176536e-10	2.7191832e-10	2.717187e-10	2.7202934e-10	2.7207292e-10	0.012662143	2.7296435e-10	0.002276331	0.078954555	0.19772339	0.02918266	0.19480143	0.08532452	2.725726e-10	2.7156793e-10	0.038962387	2.7195046e-10	2.7166014e-10	0.0037799457	2.7172128e-10	2.71555e-10	2.7175137e-10	2.7154148e-10
Spotx4	1.7493212e-10	1.749041e-10	1.7499951e-10	1.7507933e-10	1.7495848e-10	1.7512441e-10	0.05883677	1.7512776e-10	1.7502758e-10	1.7565197e-10	1.7514178e-10	1.7494949e-10	1.751645e-10	0.00094417005	1.7574077e-10	0.2989113	1.7511473e-10	1.751331e-10	0.020626752	1.7513944e-10	0.012433683	1.7522798e-10	0.18966594	1.7525072e-10	0.028316794	0.027966835	1.7595576e-10	0.03212158	0.018954447	1.7504961e-10	0.07247019	1.759665e-10	0.054674532	1.7502524e-10	1.7519458e-10	0.03434044	1.7491243e-10	1.7525975e-10	0.045702353	0.015897878	0.010171191	1.750386e-10	0.013491719	1.7492846e-10	1.7492913e-10	0.06447331
Spotx5	0.056905463	0.010530697	0.00037589122	0.019189147	2.367425e-10	0.07804724	2.3674565e-10	0.03049481	2.3709043e-10	2.3721256e-10	2.370547e-10	2.3662194e-10	0.07387664	0.038779218	2.3677002e-10	2.3681296e-10	2.3677815e-10	2.366892e-10	2.3664498e-10	0.21318513	2.3668648e-10	2.3676325e-10	2.366436e-10	2.3660435e-10	2.365854e-10	2.3665672e-10	2.3646765e-10	2.3668334e-10	2.378237e-10	0.023192989	2.3674881e-10	0.04278723	0.24671881	2.3654342e-10	0.0437586	0.12158683	2.367926e-10	2.3692134e-10	2.3658134e-10	2.3675287e-10	0.0005712888	2.3673796e-10	2.3645458e-10	2.3666483e-10	2.3662422e-10	2.3669464e-10
Spotx6	1.8588223e-10	1.8618809e-10	0.004240014	0.00440859	1.8585386e-10	1.8622573e-10	0.05236449	1.860447e-10	1.8593221e-10	1.859418e-10	1.8604575e-10	0.06655877	0.02611937	1.860053e-10	1.8637357e-10	0.060787443	1.86284e-10	0.010652557	1.8607485e-10	0.010038897	0.021352842	0.035642073	0.055767216	1.8613093e-10	0.053924333	1.8635189e-10	1.8682877e-10	0.01722129	0.012855575	1.8594498e-10	0.040404916	1.8610997e-10	0.28307956	1.8592264e-10	1.8595635e-10	1.8585174e-10	1.8586557e-10	0.026566656	0.011480632	0.037462667	1.8585707e-10	0.16907221	1.8595209e-10	1.8582941e-10	1.8585246e-10	1.8595209e-10
Spotx7	1.9761454e-10	1.9757912e-10	1.9770163e-10	1.9764695e-10	1.9753352e-10	0.007028614	1.9801108e-10	0.031650558	1.9764808e-10	0.017856525	1.9768204e-10	0.028151639	1.9769976e-10	1.9768844e-10	0.0038455224	0.6260647	0.042915676	0.09675499	1.9760549e-10	1.9774236e-10	1.9785666e-10	1.9759795e-10	0.06813036	1.9759118e-10	1.9767485e-10	1.9756102e-10	1.9763076e-10	0.0060055	0.014383177	1.9760663e-10	1.980806e-10	1.9780726e-10	1.976873e-10	0.018437728	0.012030468	0.011514926	0.015229591	1.9750752e-10	1.9762397e-10	1.976202e-10	1.976711e-10	1.976021e-10	1.9754784e-10	1.9749774e-10	1.9768241e-10	1.9756631e-10
Spotx8	0.038782816	1.692592e-10	1.6978852e-10	0.05383407	0.016276164	0.08374594	1.6997287e-10	0.025801769	0.052838463	0.13582818	0.03586916	0.009361166	1.6964447e-10	1.6932765e-10	1.692763e-10	1.6942263e-10	1.694262e-10	1.6934154e-10	1.6925629e-10	1.6959592e-10	1.695707e-10	1.6943717e-10	1.6930762e-10	1.7002669e-10	0.04986619	0.13077371	0.14336295	1.6930925e-10	0.01990383	1.6986916e-10	0.001514357	0.018962843	0.043515936	0.0224077	1.6940294e-10	1.6938742e-10	0.05279188	0.026278218	0.004919781	0.0019584945	1.6919303e-10	0.0042075394	1.6935478e-10	0.0071817697	0.006219126	0.01379803
Spotx9	0.015497773	1.6037428e-10	1.6032778e-10	1.6028866e-10	1.603339e-10	1.6017374e-10	1.6051749e-10	1.6012608e-10	1.6028406e-10	1.603813e-10	1.6029171e-10	1.6036969e-10	1.6020979e-10	1.6018963e-10	0.00802647	1.6063818e-10	0.053357184	1.6030363e-10	0.46176898	0.022671279	1.60523e-10	0.04222769	0.084749945	1.6020857e-10	0.0404681	0.050587542	0.0077162557	1.6043976e-10	0.014829751	0.020267459	1.6017251e-10	1.6033666e-10	1.6016427e-10	0.01153275	1.6088225e-10	1.6021683e-10	0.03285236	0.05680837	0.0012884291	0.022105364	0.014019643	0.0029714773	0.017413078	0.018840136	1.6034399e-10	1.6026266e-10
Spotx10	4.617131e-10	0.018692182	4.6006926e-10	4.5963156e-10	0.026739342	4.5969556e-10	0.018137561	4.5989376e-10	4.6007187e-10	4.5995865e-10	4.5959478e-10	0.0048078476	4.5950357e-10	4.5959123e-10	4.5958687e-10	4.5936602e-10	4.5979204e-10	4.5968243e-10	4.5988588e-10	4.5957108e-10	0.051924754	0.007892443	0.40631577	0.046402708	4.5982274e-10	4.5987184e-10	4.6002271e-10	0.018069481	0.07065531	4.5985168e-10	4.593809e-10	4.5972276e-10	4.595027e-10	0.00522667	0.21933906	4.621845e-10	0.074260235	4.595027e-10	4.5969822e-10	4.5980694e-10	4.5941684e-10	0.03153672	4.6044848e-10	4.593958e-10	4.5929502e-10	4.597105e-10
