,uniform,density,nspots,mean_ncells
Oligo_2,0,1.0,161.0,1.6111455264312433
Ext_Hpc_1,0,1.0,215.0,1.103262654975553
Inh_Meis2_4,0,1.0,210.0,0.2554491261033365
Ext_Unk_3,0,0.0,221.0,1.3662231953840664
OPC_1,0,1.0,226.0,1.6638434591875413
Inh_4,0,1.0,198.0,1.2130453345062915
Inh_1,0,1.0,186.0,0.3103751128391906
Inh_Vip,1,1.0,1551.0,0.7099342952150856
Ext_Thal_1,0,1.0,209.0,0.9195359961313093
LowQ_2,0,1.0,169.0,0.5110479485000595
Micro,0,1.0,183.0,0.5226163212163494
Inh_Meis2_3,0,1.0,217.0,1.942418181287825
Inh_Pvalb,0,0.0,198.0,1.7826143592544779
Ext_Pir,0,1.0,191.0,0.5299276073594624
Inh_3,0,1.0,164.0,0.37965965001651464
Astro_0,0,1.0,171.0,1.5146553246559722
OPC_2,0,1.0,203.0,1.6108574758920573
Inh_Meis2_2,1,1.0,1638.0,4.449242908709024
Ext_L5_2,0,0.0,248.0,1.662866337152131
Unk_1,0,1.0,201.0,2.4832710047132207
Ext_Hpc_3,0,0.0,197.0,2.299732295347928
Astro_2,0,1.0,224.0,0.6896802385842412
Inh_Meis2_1,0,1.0,182.0,0.1508524864601779
Ext_Hpc_2,0,0.0,197.0,2.397900007569454
Ext_Amy_2,0,1.0,206.0,0.09420867013989352
Astro_3,0,1.0,196.0,0.18202176801620018
Oligo_1,0,1.0,217.0,1.6515881614094903
Ext_L23,0,1.0,194.0,0.9142029272330596
Inh_Lamp5,0,1.0,184.0,0.7950200310913097
Ext_L5_1,0,1.0,176.0,0.02444782194181751
Inh_2,0,1.0,174.0,2.2307592302453743
Ext_L56,0,1.0,189.0,0.5340036135634412
Astro_1,0,1.0,237.0,0.958044114279406
Inh_6,1,1.0,1502.0,0.7769170876315397
Inh_Sst,0,0.0,177.0,3.0505912137621833
Ext_L25,0,1.0,150.0,0.1300346225190048
Ext_Amy_1,0,1.0,181.0,0.6676918777680441
Nb_2,1,1.0,1571.0,0.9341817538578765
Ext_ClauPyr,0,1.0,152.0,2.371329653466524
Ext_Hpc_4,0,1.0,197.0,0.5423237314996898
Inh_5,0,1.0,147.0,0.7896773830732009
Ext_L6B,0,1.0,211.0,0.7675188327370286
Ext_Thal_2,0,1.0,274.0,1.429261218657784
Nb_1,1,1.0,1513.0,0.572821277171848
Ext_L6,0,1.0,187.0,0.2039470893111531
Astro_4,0,0.0,170.0,3.0891856380694422
