,uniform,density,nspots,mean_ncells
Inh_4,0,1.0,181.0,0.14493297557223034
Oligo_2,0,1.0,167.0,0.10316257764992329
Ext_Hpc_4,0,1.0,192.0,1.4671096061146534
Inh_Meis2_4,0,1.0,177.0,0.588941636721734
Inh_Vip,0,1.0,187.0,0.9826876933211076
Ext_Pir,0,0.0,186.0,1.4327761840840851
Ext_L5_1,0,1.0,226.0,0.31105214439408113
Ext_Thal_1,0,1.0,235.0,0.3626789922939202
LowQ_2,0,1.0,213.0,0.17826319235503307
Micro,1,1.0,1694.0,0.13434411248516276
Inh_Meis2_3,0,1.0,179.0,0.5604878660173422
Astro_3,0,1.0,149.0,0.648366849797354
Ext_L23,0,1.0,202.0,1.0628253372300245
Inh_6,0,1.0,225.0,0.761661278564648
Inh_3,0,0.0,164.0,2.305948877678775
Inh_Pvalb,0,1.0,224.0,0.28739668753566583
OPC_1,0,1.0,207.0,0.00814935507573189
Astro_0,0,1.0,221.0,0.05130465167704027
Inh_5,0,1.0,218.0,0.3245161623530732
Inh_Sst,0,0.0,171.0,3.7872792887361344
Ext_L25,1,1.0,1598.0,2.1816188289850715
OPC_2,0,1.0,180.0,1.2244873620326462
Ext_Hpc_1,0,1.0,205.0,0.49011606598112517
Unk_1,0,0.0,227.0,5.37608982450736
Ext_L5_2,0,1.0,201.0,3.1284169389550884
Ext_Hpc_3,0,0.0,197.0,2.4597079967212725
Ext_L56,0,1.0,200.0,0.917703106533792
Ext_ClauPyr,1,1.0,1669.0,0.35564710564752255
Astro_2,0,1.0,186.0,0.337208710679548
Ext_Hpc_2,0,1.0,168.0,0.5716242320029286
Ext_Amy_2,0,0.0,232.0,1.6628366253303162
Ext_L6,0,1.0,185.0,0.07614190232140147
Inh_Lamp5,0,0.0,169.0,1.5996640725031275
Inh_2,0,1.0,203.0,0.1326484681489145
Inh_1,0,1.0,202.0,2.941295897602997
Ext_Thal_2,0,1.0,221.0,0.7461953747602591
Ext_Amy_1,0,1.0,161.0,1.0390683955609552
Inh_Meis2_1,0,0.0,215.0,2.811217736355326
Nb_2,0,0.0,223.0,2.020619776493005
Astro_4,0,1.0,214.0,0.4659641189261708
Astro_1,0,1.0,177.0,1.2598515899083351
Inh_Meis2_2,0,1.0,195.0,1.2336395207110493
Ext_L6B,0,0.0,219.0,1.9000379448575635
Ext_Unk_3,0,1.0,217.0,1.5834018932340534
Oligo_1,1,1.0,1550.0,0.3146744485567529
Nb_1,0,1.0,232.0,0.2576346004570718
