,Astro_3,Ext_L25,Ext_L6,Oligo_2,Ext_Hpc_1,Inh_Meis2_4,Nb_2,Ext_L23,Inh_Pvalb,Inh_Vip,Ext_L5_1,Inh_4,Ext_Thal_1,Inh_Meis2_3,Ext_Hpc_2,Inh_6,Inh_3,OPC_1,Micro,Ext_Pir,Astro_0,Unk_1,Ext_Hpc_3,Ext_Amy_2,Inh_Lamp5,Inh_2,Ext_Unk_3,Ext_Hpc_4,Ext_L6B,Astro_2,LowQ_2,Ext_Thal_2,Inh_Sst,Ext_Amy_1,Inh_1,Ext_L5_2,Ext_L56,Inh_5,Ext_ClauPyr,Oligo_1,Astro_4,Astro_1,Inh_Meis2_2,Nb_1,Inh_Meis2_1,OPC_2
Spotx1,0.0,0.0,0.0,0.0,0.0,0.0,4089.0,0.0,0.0,0.0,0.0,0.0,0.0,5142.0,0.0,0.0,0.0,0.0,0.0,0.0,1977.0,0.0,0.0,0.0,0.0,0.0,11844.0,0.0,0.0,9718.0,0.0,0.0,0.0,0.0,9753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30688.0,0.0,0.0,0.0,0.0,15849.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx3,0.0,0.0,9338.0,0.0,0.0,0.0,0.0,0.0,14381.0,0.0,0.0,0.0,0.0,15532.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3083.0,0.0,0.0,0.0,0.0,0.0,3175.0,0.0,0.0,0.0,0.0,0.0
Spotx4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2873.0,0.0,30135.0,0.0,0.0,12803.0,0.0,0.0,0.0,0.0,5049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26636.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3598.0,0.0
Spotx5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5408.0,0.0,0.0,0.0,0.0,17001.0,0.0,0.0,0.0,0.0,0.0,23004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5914.0,0.0,0.0,10046.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28912.0,0.0,0.0,0.0,14874.0,0.0,0.0,0.0,6080.0,0.0,0.0,0.0,0.0,20235.0,4248.0,0.0,0.0,2247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5113.0,0.0,55032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2919.0,0.0
Spotx8,2174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18476.0,18902.0,0.0,36062.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.0,0.0,0.0,0.0,0.0,0.0
Spotx9,2386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5995.0,0.0,0.0,4475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18975.0,0.0,52433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,0.0,0.0,0.0,3216.0,0.0
Spotx10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18214.0,0.0,0.0,2828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spotx11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12431.0,0.0,0.0,5384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8955.0,0.0,0.0,0.0,0.0
Spotx12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6803.0,0.0,0.0,0.0,0.0,0.0,9744.0,0.0,3933.0,12478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3687.0,0.0,0.0,0.0,0.0,0.0
Spotx13,0.0,0.0,0.0,0.0,0.0,0.0,1580.0,0.0,5982.0,0.0,0.0,0.0,0.0,9329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19845.0,0.0,0.0,8142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2394.0,0.0,0.0,0.0,0.0,0.0
