,uniform,density,nspots,mean_ncells
Astro_3,0,1.0,160.0,1.0474574548300608
Ext_L25,0,1.0,179.0,2.132757937061398
Ext_L6,0,1.0,197.0,1.123234893055173
Oligo_2,0,1.0,180.0,0.059803484155803686
Ext_Hpc_1,0,1.0,145.0,1.1653309960795775
Inh_Meis2_4,0,1.0,224.0,0.8997317793538798
Nb_2,0,0.0,182.0,1.7252708572332602
Ext_L23,0,0.0,184.0,2.634800546456045
Inh_Pvalb,1,1.0,1729.0,1.3446512029134128
Inh_Vip,0,1.0,218.0,0.2433477261092282
Ext_L5_1,0,0.0,237.0,3.911687562392489
Inh_4,0,1.0,239.0,0.7705931961771361
Ext_Thal_1,0,1.0,243.0,0.3287243824683057
Inh_Meis2_3,1,0.0,1480.0,3.129082039687697
Ext_Hpc_2,0,1.0,170.0,1.9530827510019089
Inh_6,0,1.0,226.0,1.5639461489642124
Inh_3,0,0.0,226.0,2.709425275978713
OPC_1,0,0.0,240.0,2.49741526432202
Micro,0,0.0,261.0,2.4423531329740014
Ext_Pir,0,1.0,210.0,1.1310381102288243
Astro_0,1,1.0,1646.0,0.36459198383779334
Unk_1,0,0.0,238.0,3.746138443096772
Ext_Hpc_3,0,1.0,168.0,0.04392070987600496
Ext_Amy_2,0,1.0,186.0,0.4117926352902982
Inh_Lamp5,0,1.0,182.0,0.146687302284517
Inh_2,0,1.0,203.0,0.7330227559344692
Ext_Unk_3,1,0.0,1619.0,3.2182970872650163
Ext_Hpc_4,0,1.0,198.0,0.9067602882748901
Ext_L6B,0,0.0,228.0,3.7272086266571964
Astro_2,1,1.0,1712.0,1.117752406903712
LowQ_2,0,1.0,207.0,2.327579773633101
Ext_Thal_2,0,1.0,195.0,0.4534785272879724
Inh_Sst,0,1.0,235.0,0.1673023609619573
Ext_Amy_1,0,1.0,243.0,0.723023921174691
Inh_1,1,1.0,1622.0,0.29788427915008403
Ext_L5_2,0,1.0,158.0,0.800947624401293
Ext_L56,0,1.0,151.0,0.6154540898033911
Inh_5,0,1.0,204.0,1.4936686054748785
Ext_ClauPyr,0,1.0,259.0,0.4452804312205761
Oligo_1,0,1.0,163.0,0.14129815796984957
Astro_4,1,1.0,1497.0,0.9055098628192372
Astro_1,0,0.0,195.0,3.9677676641200055
Inh_Meis2_2,0,1.0,146.0,0.13266378838956047
Nb_1,0,1.0,220.0,0.08603800897688045
Inh_Meis2_1,1,1.0,1531.0,0.7633343445940856
OPC_2,0,1.0,170.0,1.4124378651012937
